,const,rm_rf,smb,hml,rmw,cma,r_1
2248,0.001470316764060249,1.1274033827822887,0.06742078242634278,0.377796691578224,-0.086725564809135,-0.19368376934839393,0.016999570777389075
2249,0.0015375946902911888,1.1272084680354493,0.06731958249737839,0.37794448575921985,-0.08714735200203806,-0.1946878030313306,0.01693460745590331
2250,0.0016036727071959687,1.1270131277315358,0.0672149775860453,0.37808481230077606,-0.0875641392883786,-0.1956908291424779,0.016870141507054678
2251,0.0016685660187746138,1.1268173368088963,0.06710699484039413,0.3782176111679588,-0.08797591142010332,-0.196692704445418,0.01680618617981722
2252,0.0017322898896763022,1.126621071158915,0.06699566322541639,0.3783428246759638,-0.08838265185267148,-0.19769328366887173,0.016742754814275385
2253,0.0017948596336251014,1.1264243076283298,0.06688101351546417,0.3784603975234032,-0.08878434273849928,-0.19869241950318017,0.0166798608372651
2254,0.0018562906017713134,1.1262270240210714,0.06676307828550454,0.37857027682441763,-0.0891809649211224,-0.19968996259831043,0.016617517757924426
2255,0.0019165981709803807,1.1260291990996778,0.06664189190125695,0.37867241213956915,-0.08957249793007101,-0.2006857615634795,0.016555739163156745
2256,0.0019757977320706767,1.1258308125862413,0.06651749050816996,0.37876675550549593,-0.08995891997648928,-0.20167966296847945,0.016494538713002424
2257,0.0020339046780119586,1.1256318451628897,0.06638991201922617,0.37885326146323234,-0.0903402079495218,-0.20267151134673955,0.016433930135921256
2258,0.0020909343920954494,1.12543227847181,0.06625919610157051,0.3789318870852076,-0.09071633741350338,-0.20366114920025302,0.01637392722398228
2259,0.0021469022360899657,1.1252320951147814,0.06612538416194351,0.37900259200083786,-0.09108728260598029,-0.20464841700640063,0.0163145438279606
2260,0.002201823538394297,1.1250312786522199,0.06598851933089342,0.37906533842066903,-0.0914530164365913,-0.20563315322676035,0.0162557938523406
2261,0.0022557135821976737,1.124829813601777,0.0658486464458291,0.379120091159082,-0.09181351048678339,-0.2066151943179744,0.01619769125022961
2262,0.0023085875936653317,1.1246276854363828,0.06570581203279613,0.3791668176554295,-0.09216873501051803,-0.20759437474475428,0.01614025001817042
2263,0.002360460730156803,1.1244248805818398,0.06556006428707292,0.37920548799363646,-0.09251865893584436,-0.20857052699506307,0.01608348419086552
2264,0.00241134806849254,1.1242213864139246,0.0654114530525731,0.37923607492023237,-0.09286324986744109,-0.20954348159759667,0.01602740783580609
2265,0.0024612645932831196,1.124017191254935,0.06526002979995646,0.37925855386067964,-0.09320247409019479,-0.21051306714156837,0.015972035047802903
2266,0.002510225185331373,1.1238122843697822,0.0651058476035918,0.3792729029340905,-0.09353629657375263,-0.21147911029892227,0.01591737994342693
2267,0.002558244610123258,1.1236066559615707,0.06494896111729767,0.37927910296622513,-0.09386468097811161,-0.21244143584900219,0.01586345665535518
2268,0.0026053375064185678,1.1234002971666397,0.06478942654885211,0.37927713750072223,-0.09418758966031851,-0.21339986670574754,0.01581027932662113
2269,0.0026515183749584114,1.123193200049141,0.06462730163334719,0.37926699280861126,-0.09450498368222243,-0.2143542239474898,0.01575786210477377
2270,0.0026968015672969962,1.1229853575950781,0.06446264560534451,0.3792486578959822,-0.09481682281936593,-0.2153043268493868,0.01570621913594469
2271,0.002741201274778721,1.122776763705846,0.06429551916985679,0.37922212450984744,-0.09512306557102382,-0.21624999291855382,0.015655364558821973
2272,0.0027847315176660775,1.122567413191293,0.06412598447221696,0.3791873871421762,-0.09542366917138002,-0.2171910379319775,0.01560531249853626
2273,0.002827406134437853,1.1223573017622435,0.06395410506677622,0.3791444430320236,-0.0957185896019349,-0.21812727597719878,0.015556077060455089
2274,0.0028692387712670048,1.1221464260225498,0.06377994588451372,0.379093292165799,-0.09600778160509611,-0.21905851949587932,0.015507672323890087
2275,0.002910242871692978,1.1219347834606384,0.06360357319956271,0.3790339372755946,-0.09629119869900638,-0.21998457933023446,0.01546011233571966
2276,0.002950431666499803,1.121722372440577,0.06342505459467389,0.37896638383563197,-0.09656879319363336,-0.2209052647724175,0.015413411103924185
2277,0.0029898181638160523,1.1215091921926448,0.06324445892564096,0.378890640056735,-0.09684051620812728,-0.22182038361686857,0.015367582591039396
2278,0.0030284151394447323,1.1212952428034408,0.06306185628473893,0.37880671687888445,-0.09710631768946598,-0.22272974221566816,0.01532264070752945
2279,0.0030662351274376334,1.1210805252055003,0.06287731796317647,0.37871462796179756,-0.09736614643241043,-0.22363314553688973,0.015278599305079946
2280,0.003103290410927811,1.120865041166478,0.06269091641263944,0.37861438967358013,-0.0976199501007825,-0.2245303972260522,0.015235472169815436
2281,0.00313959301322868,1.1206487932778428,0.06250272520590563,0.37850602107739384,-0.09786767525008079,-0.22542129967059554,0.015193273015441508
2282,0.003175154689212833,1.1204317849431595,0.0623128189966414,0.378389543916193,-0.09810926735142976,-0.22630565406745856,0.0151520154763177
2283,0.00320998691698276,1.1202140203658961,0.062121273478328666,0.37826498259547914,-0.0983446708169278,-0.22718326049373705,0.015111713100457903
2284,0.003244100889842793,1.1199955045368422,0.06192816534247075,0.3781323641641541,-0.09857382902632365,-0.2280539179804547,0.015072379342468276
2285,0.0032775075085819056,1.119776243221076,0.06173357223602437,0.3779917182934034,-0.0987966843551047,-0.22891742458939482,0.01503402755641989
2286,0.0033102173740805316,1.1195562429445705,0.06153757271819288,0.37784307725369437,-0.099013178203922,-0.22977357749303423,0.01499667098866542
2287,0.003342240780248165,1.119335510980339,0.06134024621651346,0.37768647588983095,-0.09922325102948179,-0.230622173057539,0.0149603227705929
2288,0.003373587707301933,1.119114055334269,0.061141672982428674,0.37752195159417823,-0.09942684237675156,-0.23146300692881375,0.014924995911333538
2289,0.003404267815395149,1.118891884730552,0.06094193404628918,0.37734954427800144,-0.09962389091259635,-0.2322958741215795,0.014890703290416682
2290,0.0034342904386039643,1.1186690085967426,0.06074111117184841,0.37716929634095975,-0.09981433446081285,-0.23312056911142431,0.014857457650379095
2291,0.0034636645792788766,1.118445437048529,0.060539286810380295,0.37698125263884974,-0.09999811003851065,-0.23393688592984171,0.014825271589335809
2292,0.003492398902772174,1.1182211808740978,0.06033654405434221,0.3767854604495049,-0.10017515389395175,-0.23474461826215054,0.014794157553507254
2293,0.0035205017325405214,1.1179962515182642,0.06013296659079479,0.3765819694370369,-0.1003454015456627,-0.23554355954829484,0.014764127829721285
