,const,rm_rf,smb,hml,rmw,cma,r_1
2278,-0.00970905632144136,0.882786835721639,-0.028139568039112103,-0.9921028951839771,-1.1047525279875685,0.6382462662767662,-0.014311668822642933
2279,-0.01032437797018762,0.8813878850276426,-0.02918400003831928,-0.993991359045088,-1.1029330453544328,0.6424515044375174,-0.014091951219652147
2280,-0.010951407430645432,0.8799861927391928,-0.03036792618329603,-0.9957292334520238,-1.101105456346889,0.6467275006399391,-0.013889781901883691
2281,-0.011589602025198074,0.8785842765738269,-0.03168664996359788,-0.9973094663847558,-1.0992667698806056,0.6510727623720468,-0.01370514530704623
2282,-0.012238389852111495,0.877184777901061,-0.03313491411736724,-0.9987253369491583,-1.0974139292358775,0.6554853620000991,-0.01353797244639481
2283,-0.012897174113139103,0.875790460799224,-0.03470691220672404,-0.9999704858807654,-1.0955438083376243,0.6599629477081769,-0.013388140040729857
2284,-0.013565337764369486,0.8744042100202174,-0.03639630417935343,-1.0010389434273586,-1.0936532081864312,0.6645027586941769,-0.013255470038967425
2285,-0.014242248420287028,0.8730290277993692,-0.038196235919056264,-1.0019251543453962,-1.0917388535808823,0.6691016445515151,-0.013139729536469396
2286,-0.0149272634343038,0.871668029466859,-0.04009936273570497,-1.002623999783513,-1.0897973902690825,0.6737560886955757,-0.013040631104258179
2287,-0.015619735073922118,0.8703244378381144,-0.04209787669107575,-1.0031308158690655,-1.0878253826612816,0.6784622356249296,-0.012957833533751077
2288,-0.016319015705379938,0.8690015763818386,-0.04418353760345683,-1.0034414088604449,-1.0858193122273674,0.6832159217404739,-0.012890942995026895
2289,-0.01702446290120699,0.8677028611861198,-0.046347707521115375,-1.0035520667773148,-1.083775576691431,0.6880127093830913,-0.01283951459993711
2290,-0.017735444384643324,0.8664317917641525,-0.04858138840480587,-1.0034595674723639,-1.0816904901222926,0.6928479236931927,-0.01280305435489552
2291,-0.018451342727296968,0.8651919407613489,-0.0508752627132273,-1.0031611831604215,-1.0795602840032381,0.6977166918450776,-0.0127810214820176
2292,-0.0191715597207135,0.8639869426440908,-0.05321973654441452,-1.0026546814726995,-1.077381109347604,0.7026139841664347,-0.012772831081685929
2293,-0.01989552034851645,0.8628204814671638,-0.05560498495069007,-1.001938323154294,-1.075149039908794,0.7075346566192788,-0.012777857104633273
2294,-0.020622676293292178,0.8616962778309306,-0.05802099901690085,-1.001010856570903,-1.0728600765152907,0.7124734940943663,-0.012795435597494536
2295,-0.021352508921206197,0.8606180751509821,-0.060457634270760854,-0.9998715092346762,-1.0705101525430527,0.717425253955955,-0.012824868182484616
2296,-0.022084531697178205,0.8595896253716161,-0.06290465998126103,-0.9985199765983392,-1.0680951405198846,0.7223847092696063,-0.012865425729498498
2297,-0.0228182919940094,0.8586146742601887,-0.06535180889629794,-0.996956408400351,-1.0656108598400678,0.7273466911502943,-0.012916352177573882
2298,-0.023553372269900782,0.8576969464223086,-0.06778882697326646,-0.9951813928708682,-1.0630530855518348,0.7323061296832823,-0.012976868462195056
2299,-0.024289390599948668,0.8568401301775642,-0.07020552266701854,-0.9931959391286402,-1.0604175581670343,0.7372580928940081,-0.013046176505452148
2300,-0.025026000558263112,0.8560478624330949,-0.0725918153563131,-0.9910014581115341,-1.0576999944302163,0.7421978232756683,-0.013123463227380292
2301,-0.025762890457984612,0.8553237136869639,-0.07493778251353263,-0.988599742388886,-1.054896098975046,0.7471207714232674,-0.013207904538962537
2302,-0.026499781966507586,0.8546711732863764,-0.07723370525061372,-0.9859929452014397,-1.0520015767882414,0.75202262636983,-0.013298669280041578
2303,-0.02723642812243243,0.8540936350568687,-0.07947011190691476,-0.9831835590652996,-1.0490121463960047,0.7568993422729228,-0.013394923068717151
2304,-0.027972610789044925,0.8535943834084657,-0.0816378193805574,-0.9801743942598379,-1.0459235536847513,0.7617471611569095,-0.013495832032554993
2305,-0.028708137586327682,0.8531765800135895,-0.08372797194297019,-0.9769685574971646,-1.0427315862668876,0.7665626314770787,-0.01360056639597074
2306,-0.029442838349649645,0.8528432511400501,-0.085732077315093,-0.9735694310424373,-1.039432088302851,0.7713426223348977,-0.013708303902312495
2307,-0.03017656116827751,0.852597275710264,-0.08764203982345724,-0.9699806525219377,-1.036020975693279,0.7760843332379708,-0.013818233053431028
2308,-0.030909168060805275,0.8524413741462975,-0.08945019049261563,-0.9662060956193665,-1.0324942515585995,0.78078529936289,-0.013929556153646007
2309,-0.03164053034750555,0.85237809804868,-0.09114931396793922,-0.9622498518221355,-1.0288480219283356,0.7854433923428835,-0.01404149214902498
2310,-0.03237052378162649,0.8524098207463657,-0.09273267219767328,-0.958116213338813,-1.0250785115677905,0.7900568166637959,-0.014153279256599715
2311,-0.03309902350280176,0.8525387287448631,-0.09419402483641705,-0.9538096572683605,-1.0211820798760065,0.7946241018112745,-0.014264177381585101
2312,-0.03382589887623728,0.8527668140907385,-0.09552764636167148,-0.9493348310611467,-1.0171552367950665,0.7991440903668853,-0.014373470323694269
2313,-0.03455100828117942,0.8530958676622464,-0.09672833992275096,-0.9446965392732823,-1.0129946586769296,0.8036159223023321,-0.014480467776317571
2314,-0.03527419391155791,0.8535274733888542,-0.09779144796508463,-0.9398997315792996,-1.0086972040598567,0.8080390157662984,-0.014584507124567886
2315,-0.035995276650678726,0.8540630033962054,-0.09871285969431617,-0.9349494919750692,-1.0042599293117203,0.8124130446985989,-0.014684955050038811
2316,-0.03671405108047411,0.8547036140677061,-0.09948901546318722,-0.9298510290737054,-0.9996801041019712,0.8167379136402829,-0.014781208951563407
2317,-0.0374302806842137,0.8554502430096617,-0.10011690817985824,-0.924609667372111,-0.9949552266677439,0.8210137301351913,-0.01487269819233001
2318,-0.038143693299699584,0.8563036069031017,-0.10059408185018907,-0.9192308393458513,-0.9900830388421596,0.8252407751390417,-0.014958885184432535
2319,-0.038853976877863704,0.8572642002224546,-0.10091862737805192,-0.9137200782148954,-0.9850615408145791,0.8294194718651565,-0.015039266322362098
2320,-0.03956077559931341,0.8583322947986051,-0.1010891757578206,-0.9080830112128091,-0.9798890055933545,0.8335503535020305,-0.015113372777117821
2321,-0.04026368639871239,0.8595079402017887,-0.10110488880169233,-0.9023253531872344,-0.9745639931410675,0.8376340302371651,-0.015180771162534986
2322,-0.040962255943887915,0.8607909649178355,-0.10096544755190628,-0.8964529003594943,-0.969085364151382,0.8416711560134933,-0.015241064085230524
