,const,rm_rf
1131,-0.02494047832812745,1.1194211113401324
1132,-0.025182901175612723,1.119437024915545
1133,-0.02542486340191729,1.1194500079991572
1134,-0.025666356143378755,1.1194600446506284
1135,-0.025907370540927708,1.1194671190527534
1136,-0.026147897740104016,1.119471215510926
1137,-0.026387928891063103,1.1194723184525919
1138,-0.026627455148570553,1.1194704124266888
1139,-0.02686646767198618,1.1194654821030767
1140,-0.027104957625237007,1.1194575122719486
1141,-0.027342916176778996,1.119446487843242
1142,-0.02758033449954736,1.1194323938460276
1143,-0.027817203770896904,1.1194152154279042
1144,-0.02805351517253003,1.1193949378543764
1145,-0.028289259890413518,1.1193715465082292
1146,-0.02852442911468558,1.1193450268889011
1147,-0.028759014039550355,1.119315364611852
1148,-0.028993005863161024,1.119282545407922
1149,-0.029226395787493784,1.1192465551227013
1150,-0.029459175018208123,1.1192073797158903
1151,-0.029691334764497604,1.1191650052606654
1152,-0.029922866238929285,1.1191194179430441
1153,-0.030153760657271416,1.1190706040612532
1154,-0.03038400923831132,1.1190185500251113
1155,-0.030613603203660588,1.1189632423553972
1156,-0.030842533777551338,1.1189046676832446
1157,-0.03107079218661961,1.11884281274953
1158,-0.03129836965967949,1.1187776644042853
1159,-0.03152525742748565,1.1187092096061
1160,-0.03175144672248583,1.1186374354215551
1161,-0.03197692877856152,1.1185623290246527
1162,-0.032201694830759915,1.1184838776962729
1163,-0.03242573611501367,1.1184020688236311
1164,-0.03264904386785211,1.1183168898997644
1165,-0.032871609326100136,1.1182283285230246
1166,-0.03309342372656957,1.1181363723965971
1167,-0.03331447830573804,1.1180410093280262
1168,-0.033534764299420254,1.1179422272287813
1169,-0.03375427294242767,1.1178400141138176
1170,-0.03397299546822017,1.1177343581011816
1171,-0.03419092310854727,1.1176252474116253
1172,-0.03440804709308086,1.1175126703682514
1173,-0.03462435864903841,1.1173966153961838
1174,-0.034839849000797604,1.1172770710222584
1175,-0.03505450936950158,1.1171540258747452
1176,-0.03526833097265722,1.1170274686830988
1177,-0.03548130502372339,1.1168973882777404
1178,-0.0356934227316917,1.1167637735898588
1179,-0.035904675300660084,1.1166266136512533
1180,-0.036115053929397824,1.1164858975942116
1181,-0.0363245498109035,1.1163416146514022
1182,-0.03653315413195565,1.1161937541558213
1183,-0.03674085807265635,1.116042305540762
1184,-0.03694765280596865,1.1158872583398212
