,const,rm_rf,smb,hml,rmw,cma
2040,-0.022896494335136422,1.1191741660190306,0.2487415883391271,0.366209754376698,0.5286413271840987,-0.0797545941195682
2041,-0.02303898504736482,1.1188254905161734,0.24856797887137227,0.3644148445851235,0.5282733647978604,-0.07761580307290773
2042,-0.02318256999986795,1.1184770895019087,0.2483883128744367,0.36262749832064567,0.5279071757999568,-0.07547987156630802
2043,-0.023327210527475044,1.1181290070875345,0.24820261435101282,0.36084803687809597,0.5275430429343144,-0.0733475471428214
2044,-0.023472867088812414,1.1177812903791833,0.24801091023612595,0.35907677389618176,0.5271812363070685,-0.07121955960834424
2045,-0.023619499284296068,1.1174339893589145,0.24781323047508133,0.35731401536078417,0.5268220134820227,-0.06909662113310117
2046,-0.023767065874026164,1.1170871567636473,0.24760960809397808,0.3555600596134248,0.5264656195912163,-0.06697942637534719
2047,-0.02391552479556695,1.1167408479622567,0.24740007926254945,0.3538151973643536,0.5261122874594952,-0.06486865262565249
2048,-0.02406483318162251,1.1163951208312346,0.24718468334925447,0.3520797117098172,0.5257622377420594,-0.0627649599700903
2049,-0.024214947377609965,1.1160500356292127,0.24696346296850918,0.3503538781530861,0.5254156790739944,-0.06066899147086079
2050,-0.024365822959134954,1.1157056548707005,0.24673646401998442,0.3486379646287836,0.5250728082307482,-0.05858137336271041
2051,-0.024517414749390346,1.115362043199331,0.24650373571996434,0.34693223153018915,0.5247338102986779,-0.05650271526381109
2052,-0.024669676836493765,1.1150192672609465,0.24626533062479056,0.34523693173915104,0.5243988588547402,-0.054433610399610574
2053,-0.024822562590776344,1.1146773955767597,0.24602130464637884,0.3435523106582699,0.5240681161544154,-0.05237463583837093
2054,-0.024976024682061605,1.1143364984169086,0.2457717170599533,0.34187860624509364,0.5237417333270962,-0.05032635273706858
2055,-0.025130015096942165,1.1139966476746177,0.24551663050400757,0.3402160490480203,0.523419850578087,-0.04828930659647941
2056,-0.02528448515609909,1.113657916741243,0.2452561109727055,0.338564862243717,0.5231025973964968,-0.046264027524242114
2057,-0.02543938553167974,1.113320380382398,0.24499022780078336,0.3369252616757925,0.5227900927682668,-0.04425103050484128
2058,-0.02559466626477709,1.112984114615388,0.24471905364118238,0.3352974558945632,0.5224824453936692,-0.042250815675428786
2059,-0.025750276783033366,1.1126491965881609,0.24444266443557952,0.33368164619775953,0.5221797539086346,-0.04026386860654187
