,lb,pt_est,ub
0,-0.042243517622240434,0.027871262048964063,0.09798604172016856
1,-0.04226891841397988,0.027582383593997613,0.09743368560197511
2,-0.042291565048316763,0.0272941721001723,0.09687990924866136
3,-0.042311446722779394,0.027006636791242804,0.09632472030526501
4,-0.04232855255774898,0.026719787085195058,0.09576812672813909
5,-0.042342871593625965,0.026433632598136893,0.09521013678989976
6,-0.042354392787986014,0.026148183148214557,0.09465075908441513
7,-0.04236310501272558,0.02586344875955342,0.09409000253183242
8,-0.042368997051195116,0.02557943966622509,0.09352787638364529
9,-0.042454366456041386,0.025296166316234818,0.09304669908851101
10,-0.04274881415412017,0.025013639375530073,0.09277609290518031
11,-0.04304055411869891,0.024731869732027668,0.09250429358275424
12,-0.04332955550624076,0.02445086849965734,0.09223129250555545
13,-0.04361578680792662,0.024170647022417543,0.0919570808527617
14,-0.043899215840212905,0.023891216878447658,0.09168164959710821
15,-0.04417980973553533,0.023612589884105018,0.09140498950374536
16,-0.04445753493315327,0.02333477809805223,0.09112709112925774
17,-0.044732357170155036,0.023057793825348068,0.09084794482085118
18,-0.04500424147263252,0.022781649621539873,0.09056754071571227
19,-0.04527315214703724,0.022506358296756988,0.09028586874055121
20,-0.045539052771733146,0.02223193291979847,0.09000291861133008
21,-0.04580190618875514,0.02195838682221554,0.08971867983318622
22,-0.04606167449579245,0.021685733602381928,0.0894331417005563
23,-0.04642788634616103,0.02141398712955508,0.0892558606052712
24,-0.04692020522460526,0.021143161547916425,0.08920652832043811
25,-0.04740883851523761,0.020873271280595032,0.08915538107642768
26,-0.047893726157713534,0.020604331033665737,0.08910238822504501
27,-0.04837480715214712,0.020336355800120318,0.08904751875238776
28,-0.048852019552478365,0.02006936086380769,0.08899074128009374
29,-0.04932530046017222,0.019803361803338998,0.08893202406685022
30,-0.04979458601826711,0.019538374495950975,0.08887133501016906
31,-0.05025981140578105,0.019274415121329696,0.08880864164844045
32,-0.0507209108325028,0.019011500165381567,0.08874391116326594
33,-0.051177817534171846,0.01874964642395498,0.0886771103820818
34,-0.051630463768074245,0.01848887100650215,0.08860820578107854
35,-0.05207878080906354,0.01822919133967946,0.08853716348842246
36,-0.05252269894602707,0.017970625170880637,0.08846394928778833
37,-0.05296214747881017,0.0177131905716983,0.08838852862220678
38,-0.05339705471562674,0.017456905941304,0.08831086659823474
39,-0.05382734797095573,0.017201790009750657,0.08823092799045704
40,-0.05425295356395877,0.016947861841181612,0.088148677246322
41,-0.054673796817423403,0.01669514083694751,0.08806407849131842
42,-0.05508980205726041,0.016443646738621514,0.08797709553450345
43,-0.05550089261255735,0.01619339963091207,0.08788769187438149
44,-0.05590699081623049,0.015944419944457288,0.08779583070514507
45,-0.05630801800626761,0.015696728458506008,0.08770147492327962
46,-0.056703894527598636,0.015450346303470693,0.08760458713454003
47,-0.05709453973459853,0.015205294963352817,0.08750512966130417
48,-0.05747987199425605,0.014961596278024533,0.08740306455030511
49,-0.0578598086900104,0.014719272445371004,0.08729835358075241
50,-0.05823426622628372,0.01447834602327891,0.08719095827284154
51,-0.058603160033730034,0.014238839931464367,0.08708083989665877
52,-0.05896640457520769,0.014000777453139709,0.08696795948148711
53,-0.05932391335250631,0.013764182236502373,0.08685227782551105
54,-0.05967559891383568,0.01352907829604818,0.08673375550593204
55,-0.060021372862104676,0.013295490013692563,0.0866123528894898
56,-0.06036114586399836,0.013063442139700019,0.0864880301433984
57,-0.06069482765987821,0.012832959793409043,0.08636074724669629
58,-0.06102232707451991,0.012604068463746948,0.08623046400201381
59,-0.06134355202870864,0.012376794009525613,0.08609714004775987
60,-0.061658409551701446,0.01215116265951398,0.0859607348707294
61,-0.06196680579458841,0.011927201012272043,0.0858212078191325
62,-0.06226864604455278,0.011704936035746604,0.08567851811604599
63,-0.06256383474005903,0.011484395066614533,0.08553262487328808
64,-0.06285227548697603,0.01126560580937028,0.08538348710571658
65,-0.06313387107565942,0.011048596335144361,0.08523106374594815
66,-0.06340852349900025,0.010833395080250127,0.0850753136595005
67,-0.06367613397146088,0.010620030844446685,0.08491619566035424
68,-0.06433024070562719,0.010408532788911533,0.08514730628345026
69,-0.065012790573544,0.010198930433914257,0.08541065144137253
70,-0.06568898230324839,0.009991253656184057,0.0856714896156165
71,-0.06635870237838225,0.009785532685961626,0.08592976775030549
72,-0.06702183627652686,0.009581798103729638,0.08618543248398614
73,-0.06767826849076826,0.00938008083660977,0.08643843016398779
74,-0.06832788255236477,0.009180412154424663,0.0866887068612141
75,-0.06897056105453948,0.008982823665407997,0.08693620838535547
76,-0.0696061856773964,0.00878734731156644,0.08718088030052928
77,-0.07023463721398548,0.008594015363675316,0.0874226679413361
78,-0.07085579559752152,0.00840286041590613,0.08766151642933377
79,-0.07146953992976628,0.008213915380078003,0.08789737068992227
80,-0.07207574851058701,0.008027213479524467,0.08813017546963595
81,-0.07267429886869868,0.007842788242569376,0.08835987535383742
82,-0.07326506779359564,0.007660673495605372,0.08858641478480637
83,-0.07384793136868441,0.007480903355768688,0.08880973808022179
84,-0.07442276500562105,0.0073035122232003955,0.08902978945202185
85,-0.07498944347985581,0.007128534772895053,0.08924651302564593
86,-0.075547840967396,0.006956005946122064,0.08945985285964014
87,-0.07609783108278033,0.0067859609414230556,0.08966975296562645
88,-0.07663928691827977,0.0066184352051709,0.08987615732862157
89,-0.0771720810843103,0.006453464421694936,0.09007900992770017
90,-0.07769608575107292,0.0062910845029579944,0.09027825475698892
91,-0.07821117269140658,0.006131331577789303,0.09047383584698519
