,const,rm_rf,smb,hml,r_1
1325,-0.023329703978109927,0.9784944557419959,-0.05713954189777672,-0.08848074307067069,0.031727764491491214
1326,-0.023541293142346487,0.977225389609035,-0.06002300966306968,-0.08807423620265317,0.03216806866663494
1327,-0.023746781665612424,0.9759448870742959,-0.062938846481087,-0.08766232858667493,0.03261529732045926
1328,-0.02394608333218984,0.9746530836942056,-0.06588666006616233,-0.08724499676830987,0.0330694192114198
1329,-0.024139114105259304,0.973350129085751,-0.06886603104357834,-0.08682220788318666,0.03353039874978694
1330,-0.024325792242823746,0.9720361871685352,-0.07187651285524123,-0.08639391938661604,0.03399819595418789
1331,-0.024506038412196812,0.9707114363884478,-0.07491763170458676,-0.08596007879275487,0.03447276641309563
1332,-0.024679775802795116,0.9693760699217142,-0.07798888654190932,-0.08552062342456276,0.034954061251449925
1333,-0.02484693023695771,0.968030295858205,-0.08108974909118773,-0.0850754801755335,0.035442027102591936
1334,-0.025007430278527237,0.9666743373629235,-0.08421966391934176,-0.08462456528426916,0.03593660608567334
1335,-0.02516120733892552,0.9653084328145255,-0.08737804854885599,-0.08416778412307042,0.036437735788705704
1336,-0.02530819578046173,0.9639328359198794,-0.09056429361450652,-0.08370503100152182,0.03694534925739098
1337,-0.025448333016609315,0.9625478158036557,-0.09377776306487273,-0.08323618898614024,0.03745937498987466
1338,-0.025581559609004795,0.961153657071944,-0.09701779440921324,-0.08276112973722248,0.03797973693754324
1339,-0.025707819360914333,0.9597506598490759,-0.10028369901009253,-0.08227971336376105,0.038506354511976655
1340,-0.02582705940693242,0.9583391397867335,-0.10357476242212862,-0.08179178829755361,0.03903914259815739
1341,-0.02593923029868068,0.9569194280446209,-0.10689024477699154,-0.08129719118739087,0.03957801157401429
1342,-0.026044286086284858,0.9554918712419458,-0.11022938121474582,-0.080795746814299,0.04012286733637649
1343,-0.026142184395417982,0.9540568313791141,-0.11359138236142391,-0.08028726802865499,0.04067361133338651
1344,-0.02623288649971453,0.9526146857290545,-0.11697543485260735,-0.07977155571008068,0.041230140603412485
1345,-0.026316357388363607,0.9511658266977128,-0.12038070190265901,-0.07924839875083887,0.04179234782048146
1346,-0.02639256582871483,0.9497106616533242,-0.12380632391909072,-0.07871757406350192,0.042360121346239094
1347,-0.02646148442373218,0.9482496127241758,-0.12725141916140015,-0.07817884661352943,0.04293334528842321
1348,-0.0265230896641582,0.9467831165646532,-0.1307150844435905,-0.07763196947737368,0.04351189956582349
1349,-0.026577361975257965,0.9453116240894809,-0.13419639587941998,-0.07707668392661068,0.04409565997968058
1350,-0.026624285758033873,0.9438356001761488,-0.13769440966928598,-0.07651271953859305,0.044684498291461976
1351,-0.02666384942481965,0.9423555233356062,-0.141208162927542,-0.07593979433400352,0.045278282306933426
1352,-0.02669604542917428,0.9408718853514995,-0.14473667454882333,-0.07535761494152204,0.045876875966426596
1353,-0.026720870290022552,0.9393851908881811,-0.14827894611192663,-0.07476587678993613,0.04648013944118943
1354,-0.026738324610003653,0.9378959570679494,-0.1518339628195914,-0.07416426432777674,0.047087929235685215
1355,-0.026748413088003728,0.9364047130180848,-0.15540069447238627,-0.07355245127044086,0.04770009829569177
1356,-0.026751144525877322,0.9349119993882421,-0.15897809647484773,-0.07293010087487628,0.04831649612203371
1357,-0.02674653182937182,0.9334183678389787,-0.16256511087186223,-0.07229686624161247,0.04893696888976912
1358,-0.026734592003292385,0.9319243805022747,-0.16616066741315635,-0.07165239064387877,0.04956135957263051
1359,-0.02671534614096507,0.9304306094149672,-0.1697636846436826,-0.07099630788353083,0.050189508072507986
1360,-0.02668881940806945,0.9289376359261529,-0.17337307101761273,-0.07032824267333265,0.05082125135375136
1361,-0.026655041020935764,0.9274460500796954,-0.1769877260335192,-0.06964781104508573,0.05145642358204905
1362,-0.026614044219413744,0.925956449973104,-0.18060654138825896,-0.0689546207829681,0.05209485626763062
1363,-0.02656586623444266,0.9244694410940514,-0.18422840214705563,-0.06824827188144708,0.05273637841253157
1364,-0.02651054825046438,0.9229856356360032,-0.1878521879271427,-0.06752835702689529,0.05338081666164258
1365,-0.026448135362839097,0.9215056517944114,-0.19147677409232347,-0.06679446210209068,0.0540279954572579
1366,-0.026378676530438537,0.9200301130450318,-0.19510103295578732,-0.06604616671264146,0.05467773719682995
1367,-0.026302224523602733,0.9185596474060276,-0.19872383498843255,-0.06528304473424973,0.055329862393626514
1368,-0.026218835867664735,0.9170948866855158,-0.2023440500299852,-0.06450466487976718,0.055984189839980096
1369,-0.026128570782253252,0.915636465716341,-0.20596054850016862,-0.06371059128478453,0.05664053677281658
1370,-0.026031493116598962,0.9141850215798095,-0.20957220260721993,-0.06290038411059191,0.057298719041143004
1371,-0.02592767028107802,0.9127411928203353,-0.2131778875509617,-0.06207360016305134,0.05795855127516432
1372,-0.025817173175236702,0.9113056186527079,-0.21677648271785577,-0.061229793526213196,0.05861984705671402
1373,-0.02570007611254179,0.9098789381640611,-0.22036687286525522,-0.060368516208977055,0.059282419090660024
1374,-0.025576456742121646,0.9084617895122757,-0.22394794929236844,-0.05948931880363467,0.05994607937696449
1375,-0.02544639596774884,0.9070548091228932,-0.22751861099529608,-0.05859175115450419,0.060610639383068016
1376,-0.025309977864335333,0.9056586308863748,-0.2310777658037094,-0.057675363035271335,0.06127591021627342
1377,-0.025167289592205492,0.9042738853576615,-0.23462433149674566,-0.05673970483342383,0.06194170279580589
1378,-0.025018421309411034,0.9029011989599443,-0.23815723689579846,-0.05578432824015086,0.06260782802423374
1379,-0.02486346608236027,0.9015411931945451,-0.24167542293197244,-0.05480878694410949,0.06327409695793323
1380,-0.024702519795023054,0.9001944838587326,-0.245177843686081,-0.05381263732747031,0.06394032097629476
1381,-0.02453568105697765,0.898861680273346,-0.2486634673991573,-0.05279543916256924,0.06460631194936589
1382,-0.02436305111055486,0.8975433845219903,-0.2521312774515633,-0.05175675630755167,0.0652718824036429
1383,-0.024184733737336577,0.896240190703539,-0.25558027330892935,-0.05069615739943016,0.06593684568572541
1384,-0.024000835164254674,0.8949526841996334,-0.25900947143322856,-0.04961321654292494,0.0666010161235603
1385,-0.02381146396953185,0.8936814409587982,-0.2624179061574765,-0.0485075139935417,0.06726420918501136
1386,-0.023616730988694084,0.8924270267987207,-0.26580463052265374,-0.0473786368333273,0.06792624163350547
