,const,rm_rf,smb,hml
2100,0.08529767926439967,0.6829036477282044,0.014794224976458182,0.044057205695653766
2101,0.0850806363950747,0.682755224558658,0.014489432944925386,0.04204369534231717
2102,0.08485095268949037,0.6826137974169186,0.014166577208302788,0.04004233507959038
2103,0.08460858837547988,0.682479064975754,0.013825535525094915,0.03805311711647987
2104,0.08435350956571296,0.6823507334373731,0.013466194218808028,0.03607604259737098
2105,0.08408568842077986,0.682228516700639,0.013088448305748328,0.03411112146427244
2106,0.08380510330981224,0.6821121365027076,0.012692201609411287,0.03215837229902087
2107,0.08351173896795393,0.6820013225362052,0.012277366861749446,0.030217822146811523
2108,0.08320558665001569,0.6818958125430968,0.011843865791653637,0.028289506322419816
2109,0.08288664427967286,0.6817953523863748,0.011391629200979303,0.026373468200422853
2110,0.08255491659359292,0.6816996961007273,0.010920597028481905,0.024469758990759063
2111,0.08221041527990212,0.6816086059232984,0.010430718402010033,0.022578437500840706
2112,0.08185315911043278,0.6815218523056877,0.009921951679341437,0.020699569885491723
2113,0.08148317406622343,0.6814392139082754,0.009394264478017354,0.018833229385864545
2114,0.0811004934557689,0.6813604775779736,0.008847633694566086,0.01697949605848552
2115,0.08070515802555261,0.6812854383104677,0.00828204551347891,0.015138456495535309
2116,0.08029721606242671,0.6812138991979754,0.007697495406306549,0.01331020353739235
2117,0.0798767234874277,0.6811456713635484,0.007093988121255618,0.011494835978461923
2118,0.07944374394065817,0.6810805738828807,0.006471537663622905,0.009692458267220047
2119,0.07899834885689173,0.6810184336945841,0.005830167267445241,0.007903180201405482
2120,0.07854061753158573,0.6809590854998366,0.005169909358695061,0.006127116619195504
2121,0.0780706371770263,0.680902371652287,0.004490805510359696,0.004364387087185135
2122,0.07758850296835242,0.6808481420390501,0.003792906389738562,0.002615115585926391
2123,0.077094318079245,0.6807962539536245,0.003076271698273521,0.0008794301937758642
2124,0.0765881937070861,0.6807465719614797,0.0023409701042240716,-0.0008425372303214524
2125,0.07607024908743579,0.6806989677590676,0.0015870791684857337,-0.0025506513644212437
2126,0.07554061149769073,0.680653320026949,0.000814685263834485,-0.004244773741006418
2127,0.07499941624982574,0.6806095142777251,2.3883487904027623e-05,-0.005924763063635336
2128,0.0744468066721438,0.6805674426993709,-0.0007852224298716385,-0.007590475522351302
2129,0.07388293407998557,0.6805270039946111,-0.0016125202270469736,-0.009241765107321725
2130,0.07330795773537836,0.680488103216873,-0.0024578892124583686,-0.010878483920296335
2131,0.07272204479563014,0.6804506516033683,-0.003321200375768583,-0.012500482483444597
2132,0.07212537025089623,0.6804145664058076,-0.004202316502009769,-0.014107610045187098
2133,0.07151811685077197,0.6803797707192166,-0.005101092290912671,-0.015699714882672838
2134,0.07090047501998957,0.6803461933092936,-0.006017374480795196,-0.017276644600563516
2135,0.07027264276331766,0.6803137684387485,-0.0069510019767664724,-0.018838246425805498
2136,0.06963482555978262,0.6802824356929849,-0.007901805983072592,-0.02038436749813301
2137,0.06898723624635715,0.6802521398055076,-0.008869610139349952,-0.021914855156011458
2138,0.06833009489127428,0.6802228304833975,-0.009854230660587993,-0.023429557217789054
2139,0.06766362865715099,0.6801944622331595,-0.010855476480613956,-0.024928322257841813
2140,0.06698807165412059,0.6801669941872464,-0.011873149398891105,-0.026410999877486647
2141,0.06630366478319025,0.6801403899315311,-0.012907044230457887,-0.02787744097048477
2142,0.06561065557006018,0.6801146173339755,-0.013956948958806226,-0.02932749798296503
2143,0.06490929798965542,0.6800896483747385,-0.015022644891521584,-0.030761025167578383
2144,0.06419985228163494,0.6800654589779259,-0.016103906818509168,-0.032177878831774365
2145,0.0634825847571603,0.6800420288451982,-0.017200503172619244,-0.03357791758002422
2146,0.06275776759721807,0.6800193412913957,-0.018312196192502038,-0.03496100254989037
2147,0.06202567864280422,0.6799973830823687,-0.019438742087518876,-0.03632699764181561
2148,0.061286601177288604,0.6799761442751521,-0.0205798912045318,-0.037675769742523464
2149,0.060540823701293565,0.6799556180606207,-0.021735388196413196,-0.03900718894193897
2150,0.05978863970042648,0.6799358006087602,-0.02290497219209205,-0.04032112874354018
2151,0.05903034740621624,0.679916690916655,-0.02408837696799228,-0.04161746626804986
2152,0.05826624955061951,0.6798982906592964,-0.025285331120677282,-0.04289608245040535
2153,0.05749665311445993,0.6798806040433092,-0.02649555824054841,-0.044156862229929754
2154,0.05672186907017681,0.6798636376636525,-0.02771877708644944,-0.04539969473365654
2155,0.05594221211927171,0.6798474003633972,-0.028954701760986173,-0.04662447345273488
2156,0.05515800042483324,0.6798319030965994,-0.030203041886449036,-0.04783109641188787
2157,0.05436955533953707,0.6798171587943574,-0.03146350278114342,-0.049019466331874324
2158,0.05357720112952264,0.6798031822340697,-0.032735785636001165,-0.05018949078490421
2159,0.052781264694538775,0.6797899899119332,-0.034019587691324175,-0.05134108234300652
2160,0.05198207528476827,0.6797775999187101,-0.03531460241350577,-0.05247415871930674
2161,0.05117996421473723,0.6797660318187889,-0.03662051967158129,-0.053588642902185055
2162,0.050375264574710456,0.6797553065325268,-0.037937025913503494,-0.054684463282338225
2163,0.04956831093998444,0.6797454462219128,-0.03926380434195908,-0.05576155377269245
2164,0.04875943907848495,0.6797364741795188,-0.040600535089636354,-0.05681985392120455
2165,0.04794898565707097,0.6797284147207527,-0.04194689539379725,-0.05785930901653291
2166,0.04713728794695194,0.6797212930793876,-0.04330255977003874,-0.05887987018659526
2167,0.046324683528621624,0.6797151353063581,-0.044667200185118744,-0.05988149449002439
2168,0.045511509996701574,0.6797099681717904,-0.04604048622875434,-0.060864145000551116
2169,0.044698104665094066,0.679705819070246,-0.047422085284263484,-0.06182779088433445
2170,0.04388480427283443,0.6797027159291388,-0.048811662697967384,-0.06277240747027182
2171,0.043071944691026175,0.679700687120292,-0.050208881947251593,-0.0636979763133321
2172,0.04225986063123982,0.6796997613745852,-0.05161340480721454,-0.06460448525095949
2173,0.041448885355754014,0.6796999676996583,-0.053024891515788417,-0.06549192845258052
2174,0.04063935038999928,0.679701335300601,-0.0544430009373131,-0.06636030646229933
2175,0.039831585237571285,0.6797038935035948,-0.055867390724448095,-0.06720962623481863
2176,0.03902591709816542,0.6797076716824335,-0.05729771747839805,-0.0680399011646659
2177,0.038222670588775993,0.6797126991878644,-0.058733636907392056,-0.06885115110880756
