,const,rm_rf,r_1
1721,0.008512907096964627,0.19683173788299824,0.07094090753881784
1722,0.008901645083080148,0.19757097180246389,0.07138089165976193
1723,0.009285406693017265,0.19833267750031147,0.07182181755362052
1724,0.009664216292707218,0.19911672415832,0.07226355731095754
1725,0.010038099710011659,0.19992297776047063,0.07270598066479321
1726,0.010407084217462061,0.20075130122809828,0.07314895506587672
1727,0.010771198514823324,0.20160155455513978,0.07359234576044951
1728,0.011130472711474765,0.2024735949432694,0.07403601587036204
1729,0.011484938308604569,0.2033672769367306,0.07447982647539896
1730,0.011834628181210697,0.20428245255666144,0.07492363669766876
1731,0.0121795765599022,0.20521897143472645,0.07536730378790449
1732,0.01251981901249604,0.20617668094587172,0.07581068321352687
1733,0.012855392425404427,0.20715542634002249,0.07625362874831519
1734,0.013186334984803868,0.20815505087254577,0.07669599256352898
1735,0.013512686157585356,0.20917539593331502,0.07713762532032879
1736,0.013834486672076098,0.21021630117421256,0.07757837626333762
1737,0.01415177849853056,0.21127760463491105,0.07801809331518728
1738,0.01446460482938383,0.2123591428667895,0.07845662317189764
1739,0.014773010059265314,0.21346075105483656,0.07889381139893452
1740,0.015077039764766015,0.21458226313740805,0.07932950252779515
1741,0.015376740683956417,0.21572351192370515,0.07976354015297253
1742,0.01567216069565077,0.21688432920885423,0.080195767029154
1743,0.01596334879841605,0.21806454588647134,0.08062602516851165
1744,0.0162503550893188,0.21926399205859934,0.0810541559379437
1745,0.01653323074241081,0.22048249714292045,0.08148000015613667
1746,0.01681202798694917,0.22171988997714562,0.08190339819031456
1747,0.017086800085348658,0.22297599892049227,0.08232419005255173
1748,0.017357601310865015,0.22425065195217112,0.08274221549552979
1749,0.017624486925007628,0.22554367676680667,0.08315731410762388
1750,0.017887513154680318,0.22685490086672044,0.08356932540720882
1751,0.018146737169049684,0.22818415165101982,0.08397808893608336
1752,0.018402217056140383,0.22953125650143716,0.08438344435191636
1753,0.018654011799157544,0.23089604286486493,0.08478523151962174
1754,0.01890218125253635,0.23227833833255354,0.0851832906015822
1755,0.019146786117720745,0.2336779707159307,0.08557746214664136
1756,0.01938788791866907,0.23509476811901014,0.0859675871777941
1757,0.01962554897709315,0.23652855900737205,0.08635350727851127
1758,0.01985983238742751,0.23797917227369225,0.08673506467764108
1759,0.020090801991534443,0.23944643729980597,0.0871121023328361
1760,0.020318522353145557,0.2409301840153024,0.08748446401245985
1761,0.020543058732043533,0.24243024295264715,0.0878519943759388
