,lb,pt_est,ub
0,-0.17421634573628636,-0.015122155359800655,0.14397203501668504
1,-0.1732811375923471,-0.0148573633722485,0.1435664108478501
2,-0.17233479695716208,-0.014587467342766863,0.14315986227162836
3,-0.17137707384753612,-0.014312330541638885,0.14275241276425835
4,-0.17040771633102264,-0.014031814763982143,0.14234408680305838
5,-0.1694264706649578,-0.013745780397137315,0.1419349098706832
6,-0.16843308144057442,-0.0134540864917834,0.14152490845700763
7,-0.16742729173225793,-0.013156590836880781,0.14111411005849636
8,-0.16640884325200575,-0.012853150038537002,0.14070254317493172
9,-0.16537747650916163,-0.012543619602903976,0.14029023730335366
10,-0.1643329309754975,-0.012227854023204813,0.13987722292908789
11,-0.16327494525571093,-0.011905706870995538,0.13946353151371985
12,-0.16220325726343016,-0.01157703089177146,0.13904919547988726
13,-0.16111760440279488,-0.011241678105019106,0.13863424819275666
14,-0.16001772375571305,-0.010899499908826486,0.13821872393806006
15,-0.15890335227487698,-0.010550347189155014,0.13780265789656695
16,-0.15777422698264143,-0.010194070433886853,0.13738608611486774
17,-0.15663008517586297,-0.00983051985175043,0.1369690454723621
18,-0.15551909514572604,-0.00945954549623253,0.13660000415326096
19,-0.15484675360382644,-0.009080997394587429,0.13668475881465159
20,-0.15415119781356895,-0.00869472568204234,0.13676174644948424
21,-0.15343209684735226,-0.008300580741305902,0.13683093536474045
22,-0.15268912505725565,-0.007898413347480423,0.1368922983622948
23,-0.15192196245773834,-0.007488074818476641,0.13694581282078508
24,-0.15110692148473767,-0.007069417171022192,0.1369680871426933
25,-0.15024809635504338,-0.006642293282358504,0.1369635097903264
26,-0.14935552749458447,-0.006206557057710299,0.13694241337916385
27,-0.14815837769151652,-0.005762063603609782,0.13663425048429695
28,-0.14694302078484797,-0.00530866940714619,0.13632568197055558
29,-0.14570930606399796,-0.004846232521217836,0.1360168410215623
30,-0.14445708990464604,-0.004374612755833915,0.1357078643929782
31,-0.1431862361175742,-0.0038936718755308215,0.13539889236651254
32,-0.1418966163033107,-0.0034032738029372255,0.13509006869743626
33,-0.14048681947694586,-0.002903284828523558,0.13468024981989873
34,-0.13885501875872636,-0.0023935738265590035,0.13406787110560836
35,-0.13720872534846065,-0.0018740124772824247,0.13346070039389582
36,-0.13554792655555153,-0.0013444754952829064,0.13285897556498572
37,-0.13387261723287983,-0.0008048408640784041,0.13226293550472304
38,-0.13218280015709374,-0.00025499007684754045,0.13167282000339867
39,-0.13047848642093882,0.0003051916167204532,0.13108886965437974
40,-0.1287596958374312,0.0008758149575392515,0.13051132575250968
41,-0.12702645735566573,0.0014569864182758362,0.12994043019221738
42,-0.12560278134957767,0.0020488079386546993,0.12970039722688706
43,-0.12437887258146624,0.002651376655033986,0.1296816258915342
44,-0.12313470842416059,0.0032647846244098343,0.12966427767298025
45,-0.12187019212110486,0.0038891185430154685,0.1296484292071358
46,-0.12058523928814387,0.004524459459724529,0.12963415820759291
47,-0.1192719971997897,0.005170882484470124,0.12961376216872994
48,-0.11789379912824216,0.0058284564919420506,0.12955071211212627
49,-0.11649050978956985,0.006497243820842124,0.1294849974312541
50,-0.11506207373300681,0.007177299969004259,0.12941667367101534
51,-0.11360845090210536,0.007868673284731231,0.12934579747156782
52,-0.11205059724232605,0.008571404654716659,0.12919340655175937
53,-0.11035506490289893,0.009285527188970723,0.12892611928084036
54,-0.10864069186869846,0.010011065903187446,0.12866282367507334
55,-0.10690763708495808,0.010748037399044428,0.12840371188304694
56,-0.10515607691025612,0.011496449542946834,0.1281489759961498
57,-0.10338620551438657,0.012256301143782978,0.12789880780195254
58,-0.10159823526947259,0.013027581630282394,0.12765339853003738
59,-0.10047063672361917,0.013810270728617915,0.128091178180855
60,-0.0998532201736762,0.014604338140934325,0.12906189645554486
61,-0.09884545071121534,0.015409743225516118,0.12966493716224758
62,-0.09723428149582353,0.016226434679370613,0.12968715085456475
63,-0.09560367479341071,0.017054350224016013,0.12971237524144275
64,-0.0939538648710029,0.01789341629533613,0.12974069746167516
65,-0.09228510897179838,0.018743547738381938,0.12977220444856225
66,-0.09059768780925649,0.019604647508056485,0.12980698282536945
67,-0.08889190604136524,0.020476606376651565,0.12984511879466837
68,-0.0871680927225834,0.021359302649252634,0.12988669802108865
69,-0.08542660173086905,0.022252601888059085,0.1299318055069872
70,-0.08366781216710183,0.02315635664671024,0.1299805254605223
71,-0.08189212872412857,0.024070406215741004,0.1300329411556106
72,-0.08009998202257196,0.024994576380327795,0.13008913478322756
73,-0.07829804559260473,0.025928679191497973,0.1301554039756007
74,-0.07683989233407733,0.026872512752040775,0.13058491783815887
75,-0.07535239247502817,0.027825861018334223,0.13100411451169663
76,-0.07383601351882102,0.02878849361936516,0.13141300075755136
77,-0.07229125693448754,0.029760165694207648,0.13181158832290285
78,-0.07071865843360858,0.03074061774924635,0.1321998939321013
79,-0.0691187881943156,0.03172957553643581,0.13257793926718722
80,-0.06749225102925437,0.03272674995389234,0.13294575093703903
81,-0.0658396864943924,0.033731836970088004,0.13330336043456842
82,-0.06416176893557457,0.0347445175729366,0.13365080408144775
83,-0.06245920746983263,0.03576445774500769,0.133988122959848
84,-0.060732745898533176,0.03679130846609823,0.13431536283072965
85,-0.05889377481706884,0.03782470574434921,0.13454318630576725
86,-0.05664937976995289,0.03886427067704752,0.13437792112404795
87,-0.05438548349008532,0.03990960954220861,0.13420470257450254
88,-0.05210288911333042,0.04096031392196057,0.13402351695725156
89,-0.04980242736790303,0.042015960858697236,0.1338343490852975
90,-0.04748495623712736,0.0430761130448736,0.13363718232687455
