,const,rm_rf,smb,hml
1941,-0.03921240315067568,0.6116039315430286,0.2996552200360657,0.35752745923668905
1942,-0.038472699648991186,0.611520503715486,0.2960365823350441,0.35125906750298763
1943,-0.037727126392186526,0.6114605028916762,0.29238478362638454,0.34497528626906243
1944,-0.03697567697398652,0.6114239736326947,0.2887000582300894,0.3386766599591512
1945,-0.03621835030151888,0.6114109526428579,0.2849826638798439,0.33236376124210715
1946,-0.035455150737160386,0.611421468759684,0.28123288210331965,0.3260371917005808
1947,-0.03468608823696775,0.6114555429452051,0.27745101857279564,0.3196975824678892
1948,-0.033911178485395176,0.6115131882787943,0.27363740342457943,0.31334559482995944
1949,-0.03313044302598265,0.6115944099516528,0.2697923915456792,0.3069819207896218
1950,-0.03234390938768859,0.611699205263138,0.26591636282621,0.3006072835905263
1951,-0.03155161120653276,0.6118275636190836,0.2620097223760455,0.2942224381979385
1952,-0.03075358834220926,0.6119794665322709,0.2580729007042719,0.28782817173368674
1953,-0.029949886989315503,0.6121548876252209,0.2541063538600259,0.2814253038625095
1954,-0.029140559782840643,0.6123537926354463,0.25011056353334626,0.2750146871270618
1955,-0.028325665897552046,0.6125761394233132,0.24608603711475321,0.2685972072289209
1956,-0.027505271140909084,0.6128218779826626,0.24203330771229448,0.26217378325289886
1957,-0.026679448039134274,0.613090950454319,0.23795293412488958,0.2557453678320616
1958,-0.025848275916069155,0.6133832911426086,0.23384550077089172,0.24931294725092418
1959,-0.025011840964440514,0.6136988265350252,0.22971161757085004,0.24287754148434854
1960,-0.0241702363091628,0.6140374753251269,0.22555191978355443,0.23644020416974143
1961,-0.023323562062311003,0.6143991484387905,0.2213670677945829,0.23000202251034704
1962,-0.022471925369392378,0.6147837490638899,0.21715774685661066,0.2235641171074023
1963,-0.021615440446562405,0.6151911726834923,0.21292466678092195,0.21712764171918608
1964,-0.020754228608431374,0.615621307112632,0.20866856157966518,0.21069378294508467
1965,-0.01988841828611957,0.6160740325387157,0.20439018905850273,0.20426375983294245
1966,-0.019018145035231224,0.6165492215656059,0.20009033035946797,0.19783882340816114
1967,-0.01814355153343377,0.6170467392614077,0.19576978945399132,0.19142025612323837
1968,-0.017264787567338125,0.6175664432099712,0.19142939258616004,0.1850093712265395
1969,-0.016382010008398874,0.6181081835661237,0.18706998766647737,0.1786075120494169
1970,-0.01549538277757558,0.618671803114607,0.18269244361652898,0.17221605121096642
1971,-0.014605076798509352,0.6192571373327095,0.178297649665101,0.16583638973994813
1972,-0.013711269938999624,0.6198640144565434,0.17388651459648344,0.15946995611365533
1973,-0.012814146940593036,0.6204922555509271,0.16945996595186394,0.1531182052138164
1974,-0.011913899336117705,0.6211416745828083,0.16501894918484983,0.14678261719980903
1975,-0.011010725355029989,0.6218120784981505,0.1605644267723516,0.1404646962998085
1976,-0.010104829816475073,0.6225032673022043,0.15609737728223905,0.13416596952077428
1977,-0.009196424009986529,0.6232150341430567,0.15161879439929923,0.12788798527841466
1978,-0.00828572556379404,0.6239471653983706,0.14712968591124542,0.12163231194864393
1979,-0.0073729583007413994,0.6246994407651786,0.14263107265666247,0.11540053634230368
1980,-0.006458352081849105,0.6254716333526247,0.13812398743691934,0.10919426210521607
1981,-0.00554214263760295,0.6262635097775203,0.13360947389426683,0.10301510804597507
1982,-0.004624571387081459,0.6270748302625685,0.12908858535844608,0.09686470639413515
1983,-0.003705885245082439,0.627905348737137,0.12456238366432977,0.09074470099183554
1984,-0.00278633641744105,0.6287548129404121,0.1200319379431784,0.08465674542207371
1985,-0.0018661821847804144,0.6296229645268113,0.11549832339028976,0.07860250107725256
1986,-0.0009456846749754482,0.6305095391734875,0.11096262001190864,0.07258363517183844
1987,-2.5110624646293063e-05,0.6314142666897893,0.10642591135434644,0.066601818703231
1988,0.0008952688699535584,0.6323368711285348,0.10188928321840118,0.06065872436524949
1989,0.0018151786122526108,0.6332770708989469,0.09735382236223374,0.05475602441886441
1990,0.0027343395744407386,0.6342345788811241,0.09282061519591601,0.04889538852502214
1991,0.0036524691758305326,0.6352091025419138,0.08829074647094465,0.04307848154464453
1992,0.004569281569981734,0.6362003440520486,0.08376529796806524,0.03730696131108927
1993,0.005484487940035902,0.6372080004044557,0.0792453471867661,0.03158247638051561
1994,0.006397796801674644,0.6382317635336109,0.07473196603983204,0.025906663765768313
1995,0.007308914313072912,0.6392713204358474,0.07022621955637486,0.0202811466595599
1996,0.008217544591204768,0.6403263532905394,0.06572916459669752,0.014707532152782555
1997,0.009123390033816185,0.6413965395820764,0.06124184858237769,0.009187408953930913
1998,0.010026151646357576,0.6424815522225747,0.05676530824490341,0.003722345115675625
1999,0.010925529373152625,0.6435810596752788,0.05230056839611835,-0.0016861142253632316
2000,0.011821222432048799,0.6446947260786189,0.047848640723704636,-0.007036449089543711
2001,0.01271292965178588,0.6458222113708922,0.04341052261482945,-0.012327166869746135
2002,0.013600349811299805,0.6469631714155886,0.038987196010995914,-0.017556804515493612
2003,0.014483181980173695,0.6481172581273421,0.03457962629701874,-0.02272393067967103
2004,0.015361125859428169,0.6492841195985493,0.03018876122697085,-0.02782714782191877
2005,0.016233882121856967,0.6504634002266833,0.02581552988974676,-0.032865094262951276
2006,0.01710115275109626,0.6516547408423513,0.021460841716802785,-0.03783644618413233
2007,0.01796264137862488,0.6528577788381661,0.01712558553448061,-0.04273991956681062
2008,0.018818053617902456,0.6540721482984974,0.012810628663113019,-0.04757427206614059
2009,0.019667097394855892,0.6552974801301947,0.008516816064986148,-0.05233830481428691
2010,0.0205094832739376,0.656533402194365,0.004244969543045623,-0.05703086414814234
2011,0.021344924778999193,0.6577795394393295,-4.11300796804794e-06,-0.06165084325695924
2012,0.022173138708242588,0.6590355140348497,-0.004229658296452307,-0.0661971837455625
2013,0.022993845442524263,0.6603009455077506,-0.0084309182736126,-0.07066887710906591
2014,0.023806769246329986,0.6615754508790592,-0.012607170716782868,-0.07506496611537725
2015,0.02461163856074989,0.6628586448027893,-0.016757719755474184,-0.0793845460920388
2016,0.025408186287822605,0.6641501397064844,-0.02088189633943455,-0.08362676611430912
2017,0.026196150065651055,0.6654495459336573,-0.024979058648235984,-0.08779083009173967
2018,0.02697527253372422,0.6667564718882493,-0.029048592442074462,-0.09187599775083247
2019,0.027745301587918717,0.668070524181213,-0.03308991135367675,-0.09588158551172686
