,const,rm_rf,r_1
0,-0.00832401315267437,0.7457639266352707,0.20456261715439114
1,-0.009931982760289122,0.7715704485251037,0.17481595499019206
2,-0.03565290579503278,0.7610412091378111,0.1340094956824766
3,-0.034107620124594805,0.7560633851311779,0.14474487399308664
4,-0.014050035859191276,0.7572058077796893,0.14666387274266238
5,-0.0023680244245168104,0.7698031826367587,0.14428109636988545
6,0.01285962502931737,0.7615073602397604,0.16125900099549836
7,0.02272483565225782,0.7578664725400424,0.15854806871177632
8,0.05016933512611009,0.7664544627119781,0.15685018294124503
9,0.08626386361577566,0.7841217403906243,0.22814486715455773
10,0.06944222337255129,0.7999727103643344,0.20608559179510905
11,0.07392217687701025,0.7997761566583917,0.20412936873631476
12,0.05938721223685434,0.8032724278079344,0.20336867497299568
13,0.03287865709701344,0.7454450521448016,0.21666916780301446
14,0.05720699215710853,0.7477055264437501,0.2175052960570715
15,0.06166797435639808,0.7685367588402322,0.2337678935453514
16,0.039636215590026995,0.7639891163872684,0.19201162610348094
17,0.03182776789403429,0.7874538005326945,0.2102175775443303
18,0.05223661876751693,0.812486143793249,0.19111722081996363
19,0.02739473413990121,0.7876646674299405,0.17425322569314533
20,0.019439250175596202,0.7799683107439777,0.17112178297217676
21,0.008240751087050855,0.7818585801434581,0.16818907599691055
22,-0.002136899326659204,0.7646887744256557,0.1567368991598224
23,0.04638713387122087,0.6889235726145903,0.19094447340523454
24,0.043267334470886015,0.6862578271339929,0.1766749716593662
25,0.04002301458119571,0.6847610834233898,0.184349604886516
26,0.0386971067913141,0.6922302880453491,0.18366245982831547
27,0.05369504259532461,0.7052338310122787,0.1752583798761395
28,0.04418354633867966,0.6996174295102907,0.16546067433692818
29,0.0340576174685465,0.6974606655514282,0.17036302936200157
30,0.03713684804089201,0.6894393216510905,0.17928755463686227
31,0.02325790535374078,0.6552915180970558,0.17074318602654356
32,0.03766860616323563,0.6670895476513669,0.17000805147474082
33,0.04042900975925716,0.6691444780666562,0.1781546054048349
34,0.03168908300690819,0.6710579484929655,0.17102183531216128
35,0.03426791026649755,0.6736430901920506,0.16923438111698935
36,0.03704290042089466,0.6744619448010827,0.17007111770416838
37,0.039991144553689496,0.6420958769637544,0.16310048811335565
38,0.04009078878537712,0.6436360025939277,0.15573670691959862
39,0.04382365326930732,0.6514616269380512,0.15507401743085722
40,0.039450957836107414,0.6520736496061158,0.1568968601708211
41,0.02304977724018723,0.6563163617241734,0.16191182781245086
42,0.013417499621350517,0.6548092581797185,0.15316296081115027
43,0.02309823360045756,0.67255224109856,0.16222785414477434
44,0.03699365756441447,0.6827216074016743,0.15281566044965522
45,0.04651801822287684,0.6770507769459684,0.14947103691269428
46,0.06237594035101671,0.6801661203900821,0.14541597055983466
47,0.07184335493935881,0.6792126231392198,0.14909559984944679
48,0.03732943084066706,0.6612894003079524,0.1400747547658174
49,0.04712051338236399,0.670474702694069,0.13874576851740977
50,0.042594203176231527,0.6759880552612283,0.13301562895093647
51,0.04475083300419181,0.6645162305526835,0.12093025139221983
52,0.021740470482445554,0.6478456030096316,0.0830718023595822
53,0.025244011664893592,0.6382698420826757,0.07781714027119423
54,0.032727100191104024,0.6300547812587467,0.07827327966048624
55,0.026385508315506276,0.6295927375574238,0.08366242366057848
56,0.03744743694661837,0.6299398413726346,0.08953162758384225
57,0.025137030076094812,0.675085167200455,0.10303110570072337
58,0.016617311261017693,0.6785119578523835,0.11493322934896583
59,0.025912953228913366,0.6663454299266134,0.11011090965362012
60,0.017452582344966563,0.7093455381658523,0.13755133938202213
61,0.03136189403663019,0.6448645510297144,0.10829638161420391
62,0.04455942939917892,0.6312297716192957,0.07389320482070184
63,0.06601863442260862,0.5691746443069549,0.04389379283190948
64,0.061303025442377646,0.5268356436433448,0.056013935419033496
65,0.060557086305966394,0.5247876382602316,0.0629134116481013
66,0.07087274915149105,0.535779526008333,0.06576444782273003
67,0.07529471553422123,0.5412527732982331,0.0737592664140711
68,0.06712621518753399,0.5326673837408002,0.07391383481814637
69,0.05652067837453437,0.5311362921810187,0.06718928412431138
70,0.04994012675619247,0.5207427667883255,0.06559873079196568
71,0.025922610411464913,0.5244160475019056,0.07707928308522859
72,0.008121204970705965,0.48768905163318277,-0.011955717674796976
73,0.017228567159244864,0.47708709226529167,0.006303728162234664
74,0.013889665913879202,0.4829188419438571,0.0070780632286148466
75,0.01295589258405063,0.46790342163724385,0.009827695063409123
76,0.023621246148074374,0.5305530133074696,0.006718883945022429
77,-0.004020510407111273,0.5337995483883178,0.013976959908777273
78,-0.030712560266434454,0.45045917756559595,-0.04542754513277785
79,-0.01825283129925543,0.4728688758450194,-0.0018956608167242143
80,0.010289362221313474,0.4078895668411197,-0.05778655761458665
81,0.008485058991032933,0.42391362299392027,-0.02767304647483985
82,0.027858706375426045,0.47724886717716825,0.016308492749874573
83,0.018200804086398365,0.46129456137595465,-0.012380945331012413
84,0.02744186100631291,0.453549070400462,-0.018720624397148472
85,0.015647636780655397,0.47116784823311747,-0.004357497607451969
86,-0.03803051505711851,0.6381029984510065,0.0032321905543722853
87,-0.039698932744441154,0.6511809076143645,-0.026550846579856277
88,-0.041126910052228766,0.6499301101398607,-0.027044058808469107
89,-0.037944914577453547,0.6447384720659111,-0.025680211497941557
90,-0.05833465294257913,0.6481285816979759,-0.014059700848642526
91,-0.042344710607452166,0.6703784872818473,-0.031889951670492925
92,-0.05058318526204365,0.6677464657358084,-0.058323498858623805
93,-0.054034356295183654,0.6685861253889958,-0.04245847667720442
94,-0.046709998604995924,0.7464658461109557,-0.020742914629091357
95,-0.055241589636319796,0.7274897593776206,-0.018859921636256362
96,-0.06648296746620104,0.7340080696566648,-0.05097853157687967
97,-0.055859429925399585,0.7198549115515931,-0.03790901534363143
98,-0.06120472731634254,0.7046135639770152,-0.038834220566334225
99,-0.057340521127117884,0.7263188007762083,-0.03981287381387
100,-0.06130949988131889,0.729950665607931,-0.058900393825105465
101,-0.05848307233690245,0.7246425974155536,-0.05926878638476376
102,-0.05224918683986338,0.7233312613841657,-0.05628778139950245
103,-0.04774467440001088,0.7284376377236431,-0.0569660687741043
104,-0.04636588657850747,0.7263181174696642,-0.05412733814798634
105,-0.04205265920290695,0.7248443536838846,-0.05283263912089652
106,-0.03553668767227153,0.7244817540078609,-0.04951328611615
107,-0.037650151811692296,0.7290018469452795,-0.0454259273687642
108,-0.026697793616147818,0.7363973325943332,-0.04076922017862095
109,-0.033622783813942576,0.7535807118600737,-0.01855137726577563
110,-0.042814971913193375,0.7427272200116034,-0.04205980745078647
111,-0.021848173048762038,0.7506448428475365,-0.005139279914340505
112,-0.030259162008478464,0.740434777005347,0.006856341045375365
