,const,rm_rf,smb,hml,rmw,cma,r_1
0,-0.0016877729030762665,0.9240179075586424,-0.005016651352297684,-0.9242488932678303,-0.41845747767964364,2.2708327214045725,0.10540745319237754
1,-0.0017793274761712405,0.9238547093653736,-0.005979212973883316,-0.922930530138312,-0.41858935458164387,2.2675387959865216,0.10539202234901847
2,-0.0018715960648263764,0.9236876931983955,-0.0069430533422676095,-0.9216081484068285,-0.41871708823268333,2.2642281086118743,0.10537571795731362
3,-0.00196456921246087,0.9235168522794593,-0.007908132874399567,-0.9202817351401315,-0.4188405825770804,2.2609007358273305,0.10535853396209639
4,-0.0020582371990168543,0.9233421802224439,-0.00887441134113976,-0.918951277836505,-0.4189597406961772,2.2575567570599007,0.10534046429420083
5,-0.0021525900399451173,0.9231636710416784,-0.009841847864307642,-0.9176167644341642,-0.41907446480826527,2.254196254652573,0.10532150287272965
6,-0.0022476174852702167,0.9229813191603339,-0.01081040091383822,-0.9162781833196026,-0.4191846562689154,2.2508193138999246,0.10530164360737121
7,-0.0023433090187345426,0.9227951194188655,-0.011780028305053177,-0.9149355233358856,-0.4192902155717607,2.247426023083629,0.10528088040075716
8,-0.0024396538570230146,0.9226050670834796,-0.01275068719607347,-0.9135887737909152,-0.41939104234978075,2.2440164735078247,0.1052592071508674
9,-0.002536640949072847,0.9224111578546846,-0.013722334085326268,-0.9122379244655795,-0.4194870353770022,2.2405907595343657,0.10523661775347604
10,-0.0026342589754650477,0.9222133878758262,-0.014694924809231097,-0.9108829656219299,-0.4195780925708155,2.237148978617886,0.10521310610464239
11,-0.0027324963479038525,0.9220117537417093,-0.015668414539984615,-0.9095238880112113,-0.41966411099473905,2.233691231340712,0.10518866610324364
12,-0.002831341208783279,0.921806252507206,-0.016642757783520774,-0.9081606828818682,-0.4197449868618052,2.230217621447515,0.10516329165354724
13,-0.0029307814308427355,0.9215968816959136,-0.017617908377604307,-0.9067933419874525,-0.4198206155385029,2.226728255879754,0.10513697666782683
14,-0.003030804616912036,0.9213836393088117,-0.018593819490102505,-0.9054218575945119,-0.4198908915493597,2.223223244809891,0.10510971506901703
15,-0.003131398099750861,0.9211665238329462,-0.01957044361739257,-0.9040462224902807,-0.41995570858213305,2.219702701675219,0.10508150079340509
16,-0.003232548941979949,0.9209455342501124,-0.020547732582963305,-0.9026664299904148,-0.42001495949368617,2.2161667432114975,0.10505232779336304
17,-0.00333424393610773,0.9207206700455465,-0.02152563753618261,-0.9012824739465501,-0.42006853631654906,2.2126154894861667,0.10502219004011625
18,-0.003436469604652095,0.9204919312165843,-0.022504108951253342,-0.8998943487537925,-0.42011633026621503,2.2090490639311637,0.10499108152654646
19,-0.003539212200362368,0.9202593182813512,-0.023483096626357353,-0.8985020493581477,-0.4201582317491591,2.205467593375472,0.10495899627003101
20,-0.0036424577065379505,0.9200228322873971,-0.024462549682987333,-0.8971055712637716,-0.4201941303716451,2.201871208077076,0.10492592831531426
21,-0.003746191837447503,0.9197824748203178,-0.02544241656550158,-0.8957049105402056,-0.42022391494935535,2.1982600417545677,0.1048918717374124
22,-0.003850400038851536,0.9195382480123568,-0.02642264504085836,-0.8943000638294096,-0.4202474735178107,2.194634231618205,0.10485682064454685
23,-0.003955067488625273,0.9192901545509332,-0.027403182198611827,-0.8928910283528122,-0.42026469334371325,2.1909939184004994,0.10482076918110989
24,-0.00406017909748816,0.9190381976871697,-0.02838397445107375,-0.891477801918089,-0.4202754609371144,2.1873392463861823,0.10478371153065559
25,-0.004165719509835642,0.9187823812443167,-0.029364967533766703,-0.8900603829259737,-0.42027966206457823,2.1836703634416263,0.10474564191891857
26,-0.004271673104680592,0.9185227096261404,-0.030346106506073566,-0.8886387703768435,-0.42027718176325135,2.179987421043618,0.10470655461685661
27,-0.004378023996699961,0.9182591878252443,-0.03132733575214842,-0.8872129638772577,-0.42026790435593475,2.1762905743075156,0.10466644394371646
28,-0.004484756037391219,0.9179918214312924,-0.03230859898207301,-0.8857829636463,-0.42025171346716456,2.172579982014639,0.10462530427012116
29,-0.004591852816337545,0.9177206166391407,-0.03328983923329613,-0.8843487705218755,-0.42022849204038065,2.1688558066389922,0.10458313002117559
30,-0.004699297662585519,0.9174455802569063,-0.034270998872300236,-0.8829103859668015,-0.4201981223561094,2.165118214373187,0.10453991567959162
31,-0.004807073646133165,0.9171667197138873,-0.03525201959658598,-0.8814678120748425,-0.4201604860513253,2.161367375153595,0.10449565578882657
32,-0.004915163579531084,0.9168840430683901,-0.03623284243690958,-0.880021051576545,-0.4201154641399214,2.157603462684592,0.104450344956236
33,-0.005023550019598166,0.9165975590154283,-0.03721340775982652,-0.8785701078450053,-0.4200629370343684,2.153826654462005,0.10440397785623838
34,-0.005132215269251459,0.9163072768942868,-0.03819365527051664,-0.87711498490143,-0.4200027845685746,2.150037131795551,0.10435654923348796
35,-0.005241141379451942,0.9160132066959382,-0.03917352401593535,-0.8756556874206474,-0.41993488602201107,2.146235079830404,0.10430805390605456
36,-0.005350310151266221,0.9157153590703001,-0.04015295238826831,-0.874192220736427,-0.4198591201450958,2.1424206875676766,0.10425848676861017
37,-0.0054597031380475185,0.9154137453333455,-0.04113187812868969,-0.8727245908466633,-0.4197753651858701,2.138594147883918,0.1042078427956137
38,-0.005569301647732788,0.9151083774740179,-0.042110238331478304,-0.8712528044184767,-0.4196834989180549,2.1347556575495084,0.10415611704449963
39,-0.0056790867452605615,0.9147992681609722,-0.04308796944843925,-0.8697768687930956,-0.4195833986704339,2.1309054172459008,0.10410330465886034
40,-0.005789039255107837,0.9144864307491107,-0.04406500729369558,-0.8682967919907146,-0.41947494135767616,2.1270436315817514,0.104049400871627
41,-0.00589913976394899,0.914169879285929,-0.04504128704879748,-0.8668125827151095,-0.4193580035125621,2.123170509107779,0.10399440100823835
42,-0.0060093686234343096,0.9138496285176214,-0.04601674326821442,-0.8653242503581944,-0.4192324613196953,2.1192862623303976,0.10393830048980107
43,-0.0061197059530932,0.9135256938949704,-0.04699130988518263,-0.863831805004442,-0.41909819065070536,2.1153911077240584,0.10388109483623724
44,-0.006230131643358239,0.9131980915790028,-0.04796492021790879,-0.862335257435131,-0.4189550671009602,2.1114852657422167,0.10382277966941329
45,-0.0063406253587148746,0.9128668384463716,-0.04893750697617579,-0.8608346191325291,-0.41880296602785927,2.1075689608269363,0.10376335071625177
46,-0.006451166540974301,0.9125319520945088,-0.04990900226830109,-0.8593299022838948,-0.41864176259067043,2.1036424214170455,0.10370280381181939
47,-0.006561734412672557,0.9121934508464635,-0.05087933760851894,-0.8578211197854219,-0.41847133179203166,2.0997058799548167,0.10364113490239096
48,-0.006672307980594682,0.9118513537554958,-0.05184844392472711,-0.85630828524601,-0.4182915485210304,2.095759572891128,0.10357834004848425
49,-0.00678286603942627,0.9115056806093332,-0.05281625156666028,-0.8547914129909624,-0.4181022875980013,2.0918037406890235,0.10351441542786412
50,-0.006893387175531969,0.9111564519341633,-0.05378269031444759,-0.853270518065552,-0.41790342382095386,2.0878386278257137,0.10344935733851111
51,-0.007003849770862527,0.9108036889982705,-0.0547476893876022,-0.8517456162384975,-0.4176948320137637,2.083864482792853,0.10338316220155304
52,-0.0071142320069891565,0.9104474138153477,-0.05571117745442661,-0.8502167240053408,-0.41747638707608276,2.0798815580951335,0.10331582656415543
53,-0.007224511869269422,0.9100876491474907,-0.05667308264182492,-0.8486838585917192,-0.4172479640349747,2.0758901102471383,0.10324734710236744
54,-0.007334667151141152,0.9097244185078067,-0.05763333254556011,-0.8471470379565416,-0.41700943809837104,2.071890399768339,0.10317772062391885
55,-0.007444675458548421,0.9093577461626703,-0.058591854240944,-0.8456062807951317,-0.4167606847103035,2.0678826911763184,0.10310694407096808
