,lb,pt_est,ub
0,0.015286337505712747,0.12580199428503575,0.23631765106435876
1,0.015238666833567074,0.12555241832980202,0.23586616982603698
2,0.015192917428542146,0.12530321880937922,0.2354135201902163
3,0.015149109298740318,0.12505440777835616,0.23495970625797202
4,0.015107262615437114,0.12480599730019974,0.23450473198496236
5,0.015067397709054686,0.12455799944317487,0.23404860117729506
6,0.015029535064951305,0.12431042627618986,0.23359131748742842
7,0.014993695319033953,0.12406328986457271,0.23313288441011148
8,0.014989066414236918,0.12381660226577648,0.23264413811731605
9,0.015045977207201314,0.12357037552501846,0.2320947738428356
10,0.01510730786772585,0.12332462167085353,0.23154193547398122
11,0.015173088294126974,0.12307935271068282,0.23098561712723867
12,0.015243348161916623,0.12283458062620367,0.2304258130904907
13,0.015318116908525678,0.1225903173687982,0.22986251782907074
14,0.015397423717733852,0.12234657485486485,0.22929572599199582
15,0.015481297503818797,0.12210336496109943,0.22872543241838006
16,0.015569766895410897,0.12186069951971992,0.22815163214402895
17,0.015662860219070263,0.12161859031364591,0.22757432040822156
18,0.01576060548258472,0.12137704907163048,0.22699349266067625
19,0.01586303035799244,0.12113608746334933,0.22640914456870623
20,0.01597016216433511,0.120895717094451,0.2258212720245669
21,0.01608202785014523,0.1206559495015685,0.22522987115299176
22,0.016198653975674923,0.12041679614729968,0.22463493831892445
23,0.01632006669486906,0.12017826841515611,0.22403647013544314
24,0.01644629173708899,0.11994037760448563,0.22343446347188228
25,0.01657735438859627,0.1197031349253729,0.22282891546214956
26,0.016713279473799858,0.11946655149351966,0.22221982351323946
27,0.016854091336274232,0.11923063832511058,0.2216071853139469
28,0.016999813819557882,0.11899540633166661,0.22099099884377532
29,0.017150470247737346,0.11876086631489194,0.22037126238204652
30,0.017306083405828995,0.11852702896151697,0.21974797451720496
31,0.0174666755199588,0.11829390483814065,0.2191211341563225
32,0.01746388251387493,0.1180615043860814,0.21865912625828787
33,0.017225189269791302,0.1178298379162328,0.2184344865626743
34,0.01698975269120309,0.11759891560393584,0.2182080785166686
35,0.01675760839150249,0.11736874748386801,0.21797988657623352
36,0.01652879184891315,0.11713934344495486,0.21774989504099657
37,0.01630333839328671,0.11691071322530912,0.21751808805733153
38,0.016081283192728696,0.11668286640719924,0.2172844496216698
39,0.015862661240074363,0.11645581241205737,0.21704896358404036
40,0.015647507339198646,0.1162295604955241,0.21681161365184956
41,0.015435856091180991,0.11600411974254167,0.21657238339390233
42,0.015227741880315171,0.11577949906249403,0.2163312562446729
43,0.015023198859981504,0.11555570718440449,0.21608821550882745
44,0.014822260938371648,0.11533275265218912,0.2158432443660066
45,0.014624961764082844,0.11511064381997677,0.2155963258758707
46,0.014431334711572971,0.11488938884749478,0.21534744298341657
47,0.014241412866490055,0.11466899569552778,0.2150965785245655
48,0.014055229010882644,0.11444947212145692,0.21484371523203122
49,0.013872815608275302,0.11423082567487425,0.2145888357414732
50,0.013694204788642445,0.11401306369329009,0.21433192259793774
51,0.013519428333257658,0.11379619329792444,0.2140729582625912
52,0.013348517659442116,0.11358022138959771,0.2138119251197533
53,0.013181503805201347,0.11336515464471622,0.2135488054842311
54,0.01301841741376461,0.11315099951136222,0.21328358160895983
55,0.0128592887180244,0.11293776220548965,0.21301623569295491
56,0.012704147524882956,0.1127254487072294,0.21274674988957587
57,0.01255302319950774,0.11251406475730977,0.2124751063151118
58,0.012405944649498762,0.11230361585359176,0.21220128705768476
59,0.012262940308974388,0.11209410724772706,0.21192527418647972
60,0.012124038122573275,0.11188554394193734,0.2116470497613014
61,0.011772599087464974,0.11167793068592266,0.21158326228438035
62,0.011032897067712114,0.11147127197389606,0.21190964688008002
63,0.010296681699042798,0.11126557204175228,0.21223446238446175
64,0.009564036165714732,0.11106083486436974,0.21255763356302476
65,0.009017674651348742,0.11085706415304837,0.21269645365474799
66,0.008690246567052293,0.11065426335308576,0.2126182801391192
67,0.008368206843273066,0.11045243564149393,0.2125366644397148
68,0.00805160369705607,0.11025158392485569,0.21245156415265531
69,0.007740484903972486,0.11005171083732432,0.21236293677067614
70,0.00743489777878209,0.10985281873876665,0.2122707396987512
71,0.007134889156031221,0.10965490971304927,0.2121749302700673
72,0.00684050537059086,0.10945798556646842,0.21207546576234598
73,0.006551792238141077,0.10926204782632537,0.21197230341450968
74,0.006268795035602875,0.10906709773964478,0.21186540044368668
75,0.005991558481517001,0.10887313627203572,0.21175471406255444
76,0.005720126716384166,0.10868016410669726,0.21164020149701035
77,0.005454543282954319,0.10848818164356301,0.2115218200041717
78,0.005194851106475745,0.1082971889985858,0.21139952689069585
79,0.004941092474910452,0.10810718600316276,0.21127327953141506
80,0.004693309019101671,0.10791817220369268,0.2111430353882837
81,0.004451541692910621,0.10773014686126893,0.21100875202962724
82,0.004215830753316996,0.10754310895150354,0.2108703871496901
83,0.00398621574047664,0.10735705716447577,0.2107278985884749
84,0.0037627354577525335,0.10717198990480925,0.21058124435186598
85,0.0035454279516983628,0.10698790529186475,0.21043038263203112
86,0.0033343304920151196,0.10680480116005349,0.21027527182809186
87,0.0031294795514599655,0.10662267505925965,0.21011587056705933
88,0.0029309107857201228,0.1064415242553709,0.2099521377250217
89,0.002738659013243022,0.10626134573091241,0.2097840324485818
90,0.0025527581950182815,0.10608213618577544,0.20961151417653262
91,0.0023732414143187858,0.10590389203804003,0.20943454266176126
92,0.002200140856383731,0.10572660942488124,0.20925307799337875
93,0.0020334877880543445,0.10555028420355674,0.20906708061905913
94,0.0018733125373465859,0.10537491195246564,0.20887651136758467
