,const,rm_rf,smb,hml,rmw,cma
1408,-0.10540734004098692,0.7718250036805739,-0.12092943796305487,-0.10788694960152194,0.09077399436064724,0.7120322748280086
1409,-0.10528211798725988,0.7707203865774338,-0.12293908597235986,-0.10794828638620606,0.093073777794666,0.7115879849283592
1410,-0.10515066656926288,0.7696318057988448,-0.124949237280376,-0.10800102380218703,0.0953426567093117,0.7111597108983171
1411,-0.10501291476760388,0.7685588104703397,-0.12695923723030847,-0.10804554235624605,0.09757924216007477,0.7107465283701244
1412,-0.10486880080686664,0.7675009014670986,-0.12896847881312476,-0.10808225983866589,0.09978219794979726,0.7103474339273977
1413,-0.10471827224375037,0.7664575321109228,-0.13097640424905252,-0.10811163070870995,0.1019502424445477,0.7099613463654487
1414,-0.1045612860185687,0.7654281090907635,-0.13298250629167882,-0.10813414535479916,0.10408215018045837,0.7095871083643849
1415,-0.10439780846917447,0.7644119936058215,-0.1349863292486807,-0.10815032922905926,0.1061767532637151,0.7092234885708589
1416,-0.10422781530648081,0.7634085027289199,-0.13698746971506684,-0.1081607418562828,0.10823294256758624,0.7088691840815056
1417,-0.10405129155087714,0.7624169109861109,-0.1389855770168775,-0.10816597571810678,0.1102496687319343,0.7085228233180333
1418,-0.10386823142898424,0.7614364521470901,-0.14098035336521897,-0.10816665501388731,0.11222594297210818,0.708182969281412
1419,-0.1036786382303298,0.7604663212193746,-0.14297155372251702,-0.10816343430032707,0.11416083770530158,0.7078481231695883
1420,-0.10348252412371658,0.7595056766379277,-0.14495898538466034,-0.1081569970126519,0.11605348700353277,0.7075167283409993
1421,-0.10327990993321774,0.7585536426404861,-0.14694250728458785,-0.1081480538707524,0.1179030868833247,0.7071871746035273
1422,-0.1030708248739523,0.7576093118175641,-0.14892202902462384,-0.10813734117451429,0.11970889544274707,0.706857802806634
1423,-0.10285530624798693,0.7566717478250212,-0.15089750964643606,-0.10812561899305037,0.12147023285703507,0.7065269097122602
1424,-0.10263339910094631,0.7557399882459185,-0.15286895614913007,-0.10811366925340722,0.12318648124426425,0.7061927531184929
1425,-0.10240515584014315,0.7548130475874877,-0.15483642176732856,-0.10810229373483234,0.12485708441268109,0.7058535572084332
1426,-0.10217063581528421,0.753889920398083,-0.15680000402254407,-0.10809231197547109,0.1264815475011534,0.7055075180953783
1427,-0.10192990486305786,0.7529695844883827,-0.1587598425621721,-0.10808455909882685,0.12805943652408627,0.7051528095344904
1428,-0.10168303481716147,0.7520510042402422,-0.1607161168017417,-0.10807988356808963,0.12959037783162067,0.7047875887700784
1429,-0.10143010298559418,0.7511331339864188,-0.1626690433867038,-0.10807914487680986,0.1310740574955542,0.7044100024873526
1430,-0.10117119159728429,0.7502149214436383,-0.16461887349118093,-0.1080832111850966,0.13251022063064313,0.7040181928368119
1431,-0.10090638722038266,0.7492953111814948,-0.1665658899715168,-0.10809295691083476,0.13389867066032088,0.7036103034995078
1432,-0.10063578015480361,0.7483732481093532,-0.1685104043931713,-0.10810926028597795,0.1352392685349668,0.7031844857614238
1433,-0.10035946380182395,0.7474476809635164,-0.17045275394981715,-0.10813300088820739,0.13653193191004642,0.7027389045655261
1434,-0.1000775340137855,0.7465175657769065,-0.17239329829388986,-0.10816505715870121,0.13777663429046244,0.7022717445105113
1435,-0.09979008842715448,0.7455818693138268,-0.17433241629787882,-0.10820630391684859,0.13897340414654824,0.7017812157660093
1436,-0.09949722578238014,0.7446395724526903,-0.1762705027657042,-0.10825760988299012,0.1401223240062154,0.701265559874906
1437,-0.09919904523416673,0.7436896734999504,-0.17820796511349465,-0.1083198352203617,0.14122352952677433,0.700723055414402
1438,-0.09889564565592851,0.7427311914191609,-0.18014522003873482,-0.10839382910741155,0.1422772085490931,0.7001520234888466
1439,-0.09858712494229703,0.7417631689597216,-0.18208269019643594,-0.10848042735152484,0.1432836001359587,0.6995508330286031
1440,-0.09827357931365766,0.7407846756705012,-0.1840208009006171,-0.10858045005515106,0.14424299359557222,0.6989179058707706
1441,-0.09795510262674814,0.7397948107845949,-0.18595997686864105,-0.10869469934500385,0.14515572749056294,0.6982517215993607
1442,-0.09763178569536932,0.7387927059622397,-0.1879006390254129,-0.10882395717469169,0.14602218863214053,0.6975508221241703
1443,-0.09730371562525858,0.7377775278800114,-0.18984320138358945,-0.10896898321072915,0.14684281105854136,0.6968138159794922
1444,-0.09697097516713866,0.7367484806555148,-0.1917880680151009,-0.10913051281141932,0.14761807499640558,0.6960393823259164
1445,-0.09663364209185935,0.7357048080979345,-0.193735630128317,-0.10930925510740615,0.14834850580343922,0.6952262746402885
1446,-0.09629178859146204,0.7346457957759435,-0.19568626326421085,-0.10950589119228019,0.1490346728903725,0.6943733240812254
1447,-0.09594548070982548,0.7335707728959062,-0.1976403246236325,-0.10972107243055539,0.14967718862017335,0.6934794425195441
1448,-0.0955947778063951,0.7324791139843406,-0.19959815053683555,-0.10995541888996739,0.15027670718231975,0.6925436252252769
1449,-0.09523973205626494,0.7313702403701366,-0.20156005408501917,-0.11020951790384258,0.15083392344001947,0.6915649532050216
1450,-0.09488038798966002,0.7302436214632244,-0.2035263228824698,-0.11048392276863131,0.15134957174838948,0.6905425951856242
1451,-0.09451678207358209,0.7290987758277455,-0.2054972170266007,-0.11077915158066011,0.15182442474177563,0.6894758092422911
1452,-0.09414894233810182,0.7279352720490602,-0.20747296722188424,-0.11109568621531078,0.1522592920886971,0.6883639440714119
1453,-0.09377688804945923,0.7267527293952717,-0.20945377308232077,-0.11143397145070595,0.15265501921321473,0.6872064399103596
1454,-0.09340062943180504,0.7255508182751429,-0.2114398016158364,-0.11179441423717636,0.15301248598194075,0.6860028291086225
1455,-0.0930201674390701,0.7243292604954925,-0.21343118589269755,-0.11217738311268147,0.15333260535628068,0.6847527363564344
1456,-0.09263549357808942,0.7230878293224462,-0.21542802389866558,-0.11258320776336457,0.15361632201005535,0.68345587857904
1457,-0.09224658978375495,0.7218263493517759,-0.21743037757255565,-0.1130121787276566,0.15386461091304943,0.6821120645062704
1458,-0.09185342834658973,0.7205446961948699,-0.21943827202648764,-0.11346454724114688,0.15407847588157544,0.6807211939288782
1459,-0.09145597189278942,0.7192427959876385,-0.22145169494606481,-0.11394052521878419,0.1542589480976693,0.6792832566544411
1460,-0.09105417341640511,0.7179206247305742,-0.22347059616667592,-0.11444028537003019,0.15440708459893018,0.6777983311770016
