,const,rm_rf,smb,hml,r_1
0,-0.03250213853872902,0.6735728261948427,-0.3912433663077455,-0.4861452109085628,0.10165136238416803
1,-0.03216080486419193,0.6738488673348352,-0.3900214757770571,-0.48273120263113495,0.10190069626096228
2,-0.031823155648410616,0.6741233879308635,-0.38879415091799363,-0.47929744458499,0.10213628962281995
3,-0.03148923285726697,0.6743962049787461,-0.3875611535720013,-0.47584532826259135,0.10235787754659635
4,-0.031159075633326764,0.6746671293190045,-0.3863222539709488,-0.472376273309767,0.10256519663747302
5,-0.030832720045350936,0.6749359658684804,-0.385077231295947,-0.4688917269284452,0.10275798544875578
6,-0.030510198831244093,0.6752025138725511,-0.3838258742330404,-0.46539316324593233,0.10293598490744253
7,-0.030191541134947063,0.675466567177625,-0.382567981523931,-0.46188208265103153,0.10309893874423023
8,-0.029876772237834293,0.6757279145234887,-0.3813033625098287,-0.45836001109738606,0.103246593926555
9,-0.029565913285235723,0.6759863398550207,-0.3800318376664383,-0.45482849937442865,0.10337870109316413
10,-0.029258981008762206,0.6762416226526667,-0.3787532391280166,-0.4512891223463577,0.10349501498864422
11,-0.028955987445168016,0.6764935382810308,-0.3774674111983863,-0.447743478159587,0.10359529489625405
12,-0.02865693965254363,0.6767418583547988,-0.37617421084674457,-0.44419318741919717,0.10367930506733894
13,-0.028361839424690664,0.6769863511211871,-0.3748735081860275,-0.4406398923348323,0.10374681514553143
14,-0.02807068300458365,0.6772267818579882,-0.3735651869316029,-0.43708525583660196,0.1037976005838932
15,-0.027783460797881573,0.6774629132862265,-0.37224914483801036,-0.4335309606615439,0.10383144305308944
16,-0.027500157087504286,0.6776945059963718,-0.37092529411147,-0.42997870841116925,0.1038481308386511
17,-0.027220749750341125,0.677921318886986,-0.36959356179587255,-0.4264302185806639,0.10384745922533395
18,-0.02694520997720923,0.6781431096146137,-0.3682538901299959,-0.4228872275603156,0.10382923086656307
19,-0.02667350199722296,0.6783596350536889,-0.3669062368737068,-0.4193514876097319,0.10379325613693004
20,-0.026405582807784784,0.6785706517651563,-0.3655505756009586,-0.41582476580540545,0.1037393534656986
21,-0.026141401911443984,0.6787759164724926,-0.3641868959574511,-0.41230884296218057,0.10366734964928542
22,-0.02588090106090825,0.6789751865437534,-0.36281520388090516,-0.4088055125291835,0.10357708014069196
23,-0.025624014013527152,0.6791682204782686,-0.3614355217819748,-0.4053165794607171,0.10346838931388684
24,-0.025370666296593836,0.6793547783965662,-0.3600478886839502,-0.4018438590626657,0.10334113070118801
25,-0.025120774984835538,0.6795346225321167,-0.35865236031950976,-0.39838917581487904,0.10319516720173372
26,-0.024874248491482988,0.6797075177234746,-0.35724900918293856,-0.39495436217003554,0.10303037125920438
27,-0.024630986374323913,0.6798732319054045,-0.35583792453636276,-0.39154125732941036,0.10284662500703266
28,-0.024390879158151375,0.6800315365976005,-0.35441921236874696,-0.38815170599599186,0.10264382037943087
29,-0.024153808175026402,0.680182207389621,-0.3529929953065646,-0.3847875571053309,0.10242185918666875
30,-0.023919645423764537,0.6803250244207121,-0.3515594124752746,-0.3814506625345072,0.10218065315315868
