,const,rm_rf,smb,hml,rmw,cma
1647,0.02927102397998185,0.8455570487196502,0.11533566542226731,-1.0183059191974777,0.7041467365139644,1.5786074877745255
1648,0.028582472097505474,0.8382916347925701,0.11061164632423225,-1.0319906512868557,0.6970075778032758,1.5865305016338367
1649,0.027931263251931977,0.8309774534438058,0.10577427250445043,-1.045664722580843,0.6896527387632921,1.594488607220485
1650,0.027318118217957044,0.8236229549441336,0.10083368335857552,-1.0593144216692942,0.6820926682950696,1.602476490514425
1651,0.026743631126924714,0.8162367719281418,0.0958000636098452,-1.0729259020941644,0.67433807703336,1.6104885472046748
1652,0.026208269812055537,0.8088277030790473,0.0906836135467188,-1.0864852188025402,0.6663999119447396,1.6185189080882565
1653,0.025712376693753414,0.8014046955590062,0.08549451891234852,-1.0999783658380569,0.658289329758991,1.6265614662182921
1654,0.025256170179991846,0.7939768261816976,0.0802429205679298,-1.1133913150876387,0.6500176693003638,1.6346099055919134
1655,0.02483974655391958,0.786553281337724,0.07493888405878375,-1.1267100558863818,0.6415964227996066,1.6426577311528932
1656,0.024463082318287633,0.7791433356985634,0.06959236921773608,-1.139920635270976,0.6330372062819886,1.6506982998708002
1657,0.024126036964165282,0.7717563297407538,0.06421319994484309,-1.153009198661322,0.6243517291403196,1.658724852647743
1658,0.023828356129676525,0.7644016461490607,0.058811034305884746,-1.1659620307413086,0.6155517630156895,1.6667305467959872
1659,0.02356967511316709,0.757088685174812,0.05339533509433621,-1.1787655963026487,0.6066491101214588,1.6747084888243504
1660,0.023349522704282512,0.7498268390434214,0.047975341002342776,-1.191406580811479,0.5976555711578847,1.6826517672697547
1661,0.02316732529592753,0.742625465523062,0.042560038546436446,-1.2038719304547616,0.5885829129759613,1.6905534853109632
1662,0.023022411239942482,0.7354938607840853,0.03715813489242881,-1.216148891423204,0.5794428361581627,1.6984067929059417
1663,0.02291401540957071,0.7284412316958482,0.03177803172215742,-1.2282250481900066,0.5702469426923137,1.7062049182017431
1664,0.02284128393244681,0.7214766677234589,0.026427800281492893,-1.240088360548409,0.5610067039204091,1.7139411979755923
1665,0.022803279058696953,0.7146091126022203,0.021115157745951102,-1.2517271991776806,0.5517334289491955,1.7216091068795005
1666,0.02279898413007635,0.7078473359801479,0.01584744503538812,-1.2631303795158932,0.5424382337109909,1.729202285276321
1667,0.022827308617531773,0.7011999052306614,0.010631606204872213,-1.2742871937278535,0.5331320108637442,1.7367145654733158
1668,0.022887093196382838,0.6946751576462246,0.005474169533086889,-1.285187440569116,0.5238254007166869,1.7441399961799766
1669,0.022977114830292918,0.6882811732302432,0.0003812304239887063,-1.295821452960954,0.5145287633636942,1.7514728650387497
1670,0.023096091837373708,0.6820257483081208,-0.004641563769172559,-1.3061801231067478,0.5052521521993333,1.7587077191012137
1671,0.023242688914054028,0.6759163701792864,-0.009589026894869472,-1.3162549249969349,0.4960052889835933,1.7658393831468324
1672,0.0234155220948096,0.6699601930292236,-0.014456445034571582,-1.326037934168556,0.4867975406097911,1.7728629757670575
1673,0.023613163628315725,0.664164015315154,-0.01923958532723821,-1.3355218446041117,0.47763789771679577,1.779773923162801
1674,0.023834146753142785,0.658534258830046,-0.023934702508923093,-1.3446999826753705,0.46853495527152006,1.7865679706292121
1675,0.02407697035868153,0.6530769496373438,-0.028538543099077756,-1.3535663180587314,0.4594968952306095,1.793241191726115
1676,0.024340103519522968,0.6477977010535156,-0.033048347175944216,-1.3621154715709949,0.45053147137199123,1.7997899951567007
1677,0.02462198989402212,0.6427016988371382,-0.037461847695263215,-1.3703427198968903,0.44164599636776875,1.806211129399215
1678,0.02492105198019789,0.6377936887218169,-0.04177726732002446,-1.378243997202957,0.4328473311494647,1.8125016851573696
1679,0.025235695224467784,0.6330779664064231,-0.04599331274378985,-1.3858158936561138,0.42414187659620234,1.8186590957140834
1680,0.0255643119809041,0.6285583700899623,-0.050109166506419056,-1.393055650888714,0.415535567555709,1.824681135289307
1681,0.025905285320797944,0.6242382756100638,-0.054124476319355436,-1.3999611544763404,0.40703386918721585,1.8305659155173193
1682,0.026256992694188352,0.6201205942145879,-0.05803934193719866,-1.4065309235182122,0.3986417755954645,1.8363118801702565
1683,0.026617809446780046,0.6162077729649007,-0.061854299633675607,-1.4127640974338307,0.39036381070554377,1.841917798263603
1684,0.026986112197143853,0.6125017977383111,-0.06557030436252159,-1.4186604201126978,0.38220403131032576,1.8473827556859181
1685,0.027360282080461564,0.609004198765569,-0.06918870970785769,-1.4242202215765605,0.3741660322049689,1.852706145499088
1686,0.027738707866115597,0.6057160586087896,-0.07271124575273007,-1.429444397334797,0.3662529533078119,1.8578876570566918
1687,0.028119788957291253,0.6026380224554732,-0.07613999501928374,-1.4343343856339055,0.35846748865316236,1.8629272640876253
1688,0.028501938281361303,0.5997703105763718,-0.07947736665844442,-1.4388921428203372,0.3508118971294695,1.8678252118894212
1689,0.0288835850801564,0.597112732769494,-0.08272606909036564,-1.4431201170520156,0.3432880148263797,1.8725820037712497
1690,0.02926317760934399,0.5946647045897689,-0.08588908131878392,-1.4470212206080584,0.33589726884618554,1.8771983868809983
1691,0.02963918575597715,0.5924252651445674,-0.08896962316209837,-1.4505988010566966,0.3286406924289124,1.8816753375435944
1692,0.03001010358291092,0.590393096219682,-0.0919711246607956,-1.453856611549862,0.32151894123629887,1.8860140462304262
1693,0.030374451808134775,0.5885665424891596,-0.09489719493379349,-1.4567987805165006,0.314532310637669,1.8902159022709275
1694,0.03073078022628026,0.5869436325552617,-0.09775159076560548,-1.459429781028111,0.3076807538403024,1.8942824784094576
1695,0.03107767007854229,0.585522100562531,-0.10053818521059218,-1.4617544001062446,0.3009639007083219,1.8982155153015257
1696,0.031413736376057495,0.5842994081322929,-0.10326093650025008,-1.4637777082352974,0.2943810771171086,1.9020169060358807
1697,0.03173763018051356,0.5832727663705822,-0.1059238575339757,-1.4655050293323844,0.2879313246947316,1.9056886807602968
1698,0.03204804084432231,0.5824391577137091,-0.10853098622329888,-1.4669419114123163,0.2816134208077312,1.9092329914824535
1699,0.03234369821124403,0.5817953573908351,-0.11108635694401395,-1.4680940981672053,0.2754258986555124,1.912652097110179
1700,0.032623374776831665,0.5813379543015222,-0.11359397333052441,-1.4689675016595325,0.26936706734575616,1.915948348789426
