,const,rm_rf,r_1
0,-0.06389542512611546,0.9311600036896427,-0.05273960344332469
1,-0.06324125010469439,0.9305117353767474,-0.05263587068060805
2,-0.06257914543422122,0.9298679685821744,-0.05252996136052195
3,-0.061909116001056634,0.9292287262842472,-0.0524218186413284
4,-0.06123116890184179,0.9285940307628983,-0.05231138423474477
5,-0.06054531348627709,0.9279639035936545,-0.05219859837730014
6,-0.05985156139978915,0.9273383656421783,-0.052083399801604355
7,-0.059149926626064164,0.9267174370593783,-0.05196572570757041
8,-0.05844042552942263,0.9261011372771105,-0.05184551173362607
9,-0.05772307689700957,0.9254894850044956,-0.05172269192795902
10,-0.05699790198077712,0.9248824982248606,-0.051597198719838935
11,-0.05626492453923128,0.9242801941933432,-0.051468962891062245
12,-0.0555241708789192,0.9236825894351662,-0.05133791354756945
13,-0.05477566989562836,0.9230896997446029,-0.05120397809128683
14,-0.054019453115272606,0.9225015401846669,-0.05106708219224579
15,-0.053255554734436224,0.9219181250875397,-0.05092714976103769
16,-0.052484011660548925,0.9213394680557433,-0.05078410292166214
17,-0.051704863551662386,0.9207655819641188,-0.050637861984833374
18,-0.050918152855801535,0.9201964789625816,-0.05048834542180719
19,-0.05012392484985742,0.9196321704797259,-0.050335469838797144
20,-0.049322227677995795,0.9190726672272499,-0.05017914995205169
21,-0.048513112389546885,0.9185179792052734,-0.050019298563662905
22,-0.04769663297634695,0.9179681157085254,-0.049855826538186175
23,-0.046872846409499444,0.9174230853334513,-0.049688642780147584
24,-0.04604181267552111,0.9168828959862584,-0.04951765421252199
25,-0.04520359481184175,0.9163475548918967,-0.04934276575626663
26,-0.04435825894162034,0.9158170686040358,-0.04916388031099797
27,-0.04350587430784404,0.9152914430160204,-0.04898089873690224
28,-0.04264651330667265,0.9147706833728484,-0.0487937198379736
29,-0.04178025151999058,0.9142547942841811,-0.04860224034667643
30,-0.04090716774712819,0.9137437797384109,-0.048406354910130386
31,-0.04002734403571268,0.9132376431177986,-0.04820595607792124
32,-0.03914086571160724,0.9127363872147012,-0.04800093429164203
33,-0.03824782140789591,0.9122400142489085,-0.04779117787627214
34,-0.03734830309287091,0.9117485258861002,-0.0475765730335048
35,-0.03644240609697682,0.9112619232574467,-0.04735700383713608
36,-0.03553022913866556,0.9107802069803559,-0.04713235223063093
37,-0.03461187434911269,0.9103033771803877,-0.04690249802698457
38,-0.033687447295747006,0.9098314335143403,-0.04666731891099922
39,-0.03275705700454049,0.9093643751945243,-0.04642669044409958
40,-0.03182081598100511,0.9089022010142254,-0.04618048607181214
41,-0.030878840229842407,0.9084449093743615,-0.04592857713403361
42,-0.029931249273187664,0.9079924983113434,-0.04567083287822131
43,-0.028978166167390313,0.9075449655261294,-0.04540712047563136
44,-0.028019717518268285,0.9071023084144761,-0.04513730504074126
45,-0.027056033494774277,0.9066645240983895,-0.04486124965398817
46,-0.02608724784100783,0.9062316094587441,-0.04457881538795908
47,-0.025113497886505454,0.9058035611690829,-0.04428986133716795
48,-0.024134924554739215,0.9053803757305644,-0.04399424465155806
49,-0.023151672369751377,0.9049620495080496,-0.04369182057386532
50,-0.022163889460850746,0.904548578767292,-0.043382442480981186
51,-0.021171727565293483,0.9041399597132108,-0.04306596192945241
52,-0.020175342028870426,0.9037361885292086,-0.042742228705255084
53,-0.019174891804317244,0.9033372614174964,-0.04241109087797916
54,-0.018170539447465897,0.9029431746403788,-0.04207239485955902
55,-0.017162451111049942,0.902553924562444,-0.04172598546768498
56,-0.016150796536075842,0.902169507693611,-0.04137170599402667
57,-0.015135749040669149,0.9017899207329634,-0.04100939827739984
58,-0.014117485506304312,0.9014151606132886,-0.04063890278200289
59,-0.013096186361321214,0.9010452245462683,-0.04026005868084767
60,-0.012072035561634623,0.9006801100682017,-0.03987270394450581
61,-0.011045220568535684,0.9003198150861937,-0.03947667543528565
62,-0.010015932323487336,0.8999643379246858,-0.03907180900695293
63,-0.008984365219810901,0.8996136773722284,-0.03865793961009965
64,-0.007950717071162797,0.8992678327283632,-0.03823490140326383
65,-0.006915189076695492,0.8989268038504932,-0.037802527869891696
66,-0.005877985782801075,0.8985905912005957,-0.03736065194123016
67,-0.00483931504132993,0.8982591958916262,-0.03690910612522826
68,-0.0037993879641811438,0.8979326197334498,-0.03644772264151636
69,-0.002758418874158988,0.8976108652781383,-0.03597633356252521
70,-0.001716625251991052,0.8972939358644414,-0.035494770960794425
71,-0.0006742276794046574,0.8969818356612435,-0.03500286706250991
72,0.00036855022184038855,0.8966745697098029,-0.03450045440729832
73,0.0014114818550640573,0.8963721439645611,-0.033987366014293925
74,0.0024543377180201585,0.8960745653322978,-0.03346343555447918
75,0.0034968854765895225,0.895781841709393,-0.03292849752928704
76,0.004538890042902478,0.8954939820169681,-0.032382387455437346
77,0.005580113657979947,0.8952109962336274,-0.031824942055963756
78,0.006620315978977021,0.8949328954255606,-0.031255999457370835
79,0.007659254171107207,0.8946596917737265,-0.030675399392843156
80,0.008696683004320364,0.8943913985978353,-0.03008298341140985
81,0.009732354954800926,0.894128030376846,-0.02947859509294741
82,0.01076602031134589,0.8938696027656948,-0.0288620802688861
83,0.011797427286673077,0.8936161326079424,-0.02823328724845963
84,0.01282632213370423,0.8933676379440464,-0.027592067050320492
85,0.013852449266854269,0.8931241380149544,-0.026938273639316956
86,0.014875551388352188,0.8928856532607113,-0.026271764168206257
87,0.01589536961960366,0.8926522053137691,-0.025592399224053666
88,0.016911643637598495,0.8924238169866976,-0.024900043079041558
89,0.01792411181634873,0.8922005122539997,-0.02419456394538886
90,0.018932511373333995,0.8919823162277187,-0.02347583423405303
91,0.01993657852091418,0.8917692551265715,-0.02274373081686238
92,0.02093604862265489,0.8915613562383045,-0.02199813529169797
93,0.021930656354497955,0.8913586478750156,-0.02123893425031914
94,0.022920135870688398,0.8911611593211892,-0.02046601954839658
95,0.02390422097435739,0.8909689207742002,-0.019679288577293588
96,0.024882645292640133,0.8907819632770675,-0.018878644537104392
97,0.025855142456188633,0.8906003186432624,-0.0180639967104346
98,0.02682144628292483,0.8904240193734005,-0.017235260736381233
99,0.027781290965854608,0.8902530985636596,-0.016392358884141655
100,0.02873441126474852,0.8900875898058178,-0.01553522032565776
101,0.029680542701472506,0.8899275270788216,-0.014663781406674984
102,0.03061942175873161,0.8897729446318344,-0.013777985915571098
103,0.031550786081971566,0.8896238768587513,-0.01287778534928882
104,0.0324743746841598,0.889480358164211,-0.011963139175682745
105,0.03338992815314881,0.8893424228211761,-0.01103401509157094
106,0.034297188861305145,0.8892101048201927,-0.010090389275763617
107,0.03519590117706571,0.8890834377104946,-0.00913224663632392
108,0.03608581167806429,0.888962454433166,-0.008159581051300598
109,0.036966669365453314,0.8888471871466215,-0.007172395602160549
110,0.03783822587902664,0.8887376670447209,-0.006170702799137296
111,0.038700235712730804,0.8886339241678864,-0.005154524797705825
