,const,rm_rf,smb,hml,r_1
906,0.029581866896866555,0.9091786788255916,-0.32167210770626653,-0.4292292166312374,-0.0060635357328860506
907,0.0301371812728632,0.9079885925201823,-0.31977696197390637,-0.43219861926243947,-0.005418065148527399
908,0.03070330657059641,0.9068082094844347,-0.31789212094330854,-0.43515730157550203,-0.004779897473069392
909,0.03128000697949954,0.9056382198964013,-0.3160185070110322,-0.43810092237328097,-0.004149646485718962
910,0.03186701722650518,0.9044793418467043,-0.31415704909203973,-0.4410250685705203,-0.0035279296692739617
911,0.03246404260168746,0.9033323198174016,-0.3123086819018646,-0.4439252660504595,-0.0029153670323456764
912,0.03307075912520045,0.9021979228260819,-0.3104743453136448,-0.44679699122207106,-0.0023125798508497083
913,0.033686813853389626,0.9010769422448092,-0.3086549837847996,-0.44963568324108527,-0.0017201893300466062
914,0.034311825321064124,0.899970189305894,-0.3068515458475922,-0.45243675685294943,-0.0011388151891402732
915,0.03494538411605961,0.8988784923088783,-0.3050649836573353,-0.4551956158105286,-0.0005690741711998855
916,0.03558705358143062,0.897802693545332,-0.3032962525917321,-0.45790766681435063,-1.1578481949081065e-05
917,0.03623637063991049,0.8967436459600299,-0.3015463108947909,-0.46056833391856755,0.0005330658382538311
918,0.03689284673459292,0.8957022095690904,-0.29981611935874797,-0.4631730733410046,0.001064260604126635
919,0.03755596887924561,0.8946792476571842,-0.2981066410377957,-0.4657173886117966,0.001581417230995779
920,0.038225200811121775,0.8936756227776269,-0.29641884098763627,-0.46819684599093275,0.0020839585295030862
921,0.03889998423869491,0.8926921925804621,-0.29475368602542074,-0.47060709008161844,0.002571320542138231
922,0.039579740176367166,0.891729805494858,-0.2931121445051202,-0.4729438595632642,0.0030429544135452294
923,0.04026387035788435,0.890789296293127,-0.2914951861041328,-0.4752030029652712,0.0034983282859375703
924,0.04095175871993872,0.8898714815645565,-0.2899037816174166,-0.4773804944005779,0.003936929210357177
925,0.041642772947254054,0.8889771551278465,-0.2883389027562934,-0.4794724491763614,0.00435826506401492
926,0.04233626607033436,0.8881070834113827,-0.28680152194974656,-0.48147513919826096,0.00476186646351111
927,0.043031578106967325,0.8872620008309348,-0.2852926121466375,-0.4833850080838555,0.005147288663361976
928,0.043728037738611954,0.8864426051942423,-0.28381314661812757,-0.48519868590162724,0.005514113429009958
929,0.04442496401280523,0.885649553162012,-0.2823640987600366,-0.4869130034520784,0.0058619508732900205
930,0.04512166806286456,0.8848834557943692,-0.28094644189557355,-0.48852500600939647,0.006190441245257872
931,0.04581745483631559,0.8841448742112957,-0.27956114907930035,-0.49003196644410385,0.006499256660283129
932,0.04651162482367596,0.8834343153948916,-0.27820919290364593,-0.49143139764988325,0.006788102760433034
933,0.047203475779509764,0.8827522281602761,-0.27689154530958976,-0.4927210642013133,0.0070567202943726155
934,0.04789230442795541,0.882098999320883,-0.2756091774033585,-0.4938989931732208,0.007304886606320421
935,0.048577408145303425,0.881474950072527,-0.27436305928111265,-0.49496348405718704,0.007532417024000502
936,0.04925808661258096,0.8808803326191694,-0.2731541598635717,-0.4959131177158927,0.007739166136027091
937,0.049933643431538825,0.8803153270616354,-0.2719834467424491,-0.49674676432187764,0.00792502894973683
938,0.05060338769791548,0.8797800385686855,-0.2708518860403655,-0.4974635902336023,0.00808994192115125
939,0.0512666355263352,0.8792744948479752,-0.26976044228553236,-0.4980630637683211,0.008233883849481751
940,0.051922711521743214,0.8787986439322697,-0.26871007830216287,-0.49854495983852193,0.008356876629394779
941,0.05257095019281631,0.8783523522942142,-0.2677017551169665,-0.49890936342581055,0.008458985855104508
942,0.05321069730338032,0.8779354033005801,-0.26673643188157814,-0.49915667187409346,0.00854032127127859
943,0.05384131115841939,0.8775474960147408,-0.26581506581000747,-0.49928759599116984,0.008601037066659515
944,0.05446216382188769,0.8771882443536476,-0.26493861212957115,-0.4993031599560405,0.008641332007292642
945,0.05507264226410672,0.8768571766033255,-0.26410802404287803,-0.4992047000366819,0.008661449407211487
946,0.055672149437145775,0.8765537352944627,-0.2633242526977178,-0.49899386213088465,0.0086616769354283
947,0.05626010527715584,0.876277277437429,-0.262588247160834,-0.49867259815002685,0.00864234625905008
